Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2020-12-04T23:59:59Z
User Bounding Box:,"-89.2969,40.8252,-86.6602,43.0664"
Data Bounding Box:,"-89.125,40.875,-86.875,42.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2020-12-04T23:59:59Z&bbox=-89.2969,40.8252,-86.6602,43.0664&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2019-01-01,-1.267651e+30
2019-01-02,-1.267651e+30
2019-01-03,-1.267651e+30
2019-01-04,5.26698228e+15
2019-01-05,1.90815908e+15
2019-01-06,1.04655495e+15
2019-01-07,-1.267651e+30
2019-01-08,-1.267651e+30
2019-01-09,3.01726338e+15
2019-01-10,-1.267651e+30
2019-01-11,-1.267651e+30
2019-01-12,-1.267651e+30
2019-01-13,3.73321e+15
2019-01-14,2.84289657e+15
2019-01-15,-1.267651e+30
2019-01-16,4.87327659e+15
2019-01-17,-1.267651e+30
2019-01-18,2.11935054e+15
2019-01-19,-1.267651e+30
2019-01-20,4.11413978e+15
2019-01-21,2.66737199e+15
2019-01-22,-1.267651e+30
2019-01-23,4.300609e+15
2019-01-24,2.23447418e+15
2019-01-25,8.25543717e+15
2019-01-26,-1.267651e+30
2019-01-27,-1.267651e+30
2019-01-28,-1.267651e+30
2019-01-29,3.16501804e+15
2019-01-30,3.02010772e+15
2019-01-31,4.80173371e+15
2019-02-01,6.01771089e+15
2019-02-02,-1.267651e+30
2019-02-03,2.1876887e+15
2019-02-04,-1.267651e+30
2019-02-05,-1.267651e+30
2019-02-06,2.82251775e+15
2019-02-07,-1.267651e+30
2019-02-08,6.20202297e+15
2019-02-09,4.49569823e+15
2019-02-10,-1.267651e+30
2019-02-11,-1.267651e+30
2019-02-12,-1.267651e+30
2019-02-13,-1.267651e+30
2019-02-14,9.43767631e+15
2019-02-15,6.36124385e+15
2019-02-16,-1.267651e+30
2019-02-17,-1.267651e+30
2019-02-18,-1.267651e+30
2019-02-19,1.10123584e+16
2019-02-20,-1.267651e+30
2019-02-21,6.70284622e+15
2019-02-22,7.89487735e+15
2019-02-23,-1.267651e+30
2019-02-24,4.40120304e+15
2019-02-25,9.63891056e+15
2019-02-26,6.33945065e+15
2019-02-27,-1.267651e+30
2019-02-28,-1.267651e+30
2019-03-01,-1.267651e+30
2019-03-02,3.62303013e+15
2019-03-03,4.55282854e+15
2019-03-04,7.54968116e+15
2019-03-05,5.8184636e+15
2019-03-06,-1.267651e+30
2019-03-07,-1.267651e+30
2019-03-08,-1.267651e+30
2019-03-09,-1.267651e+30
2019-03-10,3.33092082e+15
2019-03-11,7.24808319e+15
2019-03-12,8.67190351e+15
2019-03-13,-1.267651e+30
2019-03-14,7.23584039e+15
2019-03-15,-1.267651e+30
2019-03-16,6.56951648e+15
2019-03-17,-1.267651e+30
2019-03-18,8.17746956e+15
2019-03-19,5.81891135e+15
2019-03-20,-1.267651e+30
2019-03-21,3.15987643e+15
2019-03-22,-1.267651e+30
2019-03-23,5.67459347e+15
2019-03-24,-1.267651e+30
2019-03-25,4.17591349e+15
2019-03-26,5.83357383e+15
2019-03-27,7.62574826e+15
2019-03-28,2.8537019e+15
2019-03-29,6.14227729e+15
2019-03-30,-1.267651e+30
2019-03-31,-1.267651e+30
2019-04-01,-1.267651e+30
2019-04-02,-1.267651e+30
2019-04-03,8.12572808e+15
2019-04-04,-1.267651e+30
2019-04-05,5.22313765e+15
2019-04-06,8.71537287e+15
2019-04-07,-1.267651e+30
2019-04-08,7.06002161e+15
2019-04-09,-1.267651e+30
2019-04-10,-1.267651e+30
2019-04-11,-1.267651e+30
2019-04-12,7.34674074e+15
2019-04-13,5.57092531e+15
2019-04-14,-1.267651e+30
2019-04-15,6.2638399e+15
2019-04-16,-1.267651e+30
2019-04-17,5.82071416e+15
2019-04-18,-1.267651e+30
2019-04-19,4.75271203e+15
2019-04-20,3.33770445e+15
2019-04-21,6.35805967e+15
2019-04-22,8.17425746e+15
2019-04-23,-1.267651e+30
2019-04-24,7.07508943e+15
2019-04-25,-1.267651e+30
2019-04-26,7.35638187e+15
2019-04-27,-1.267651e+30
2019-04-28,5.83249204e+15
2019-04-29,3.47169776e+15
2019-04-30,-1.267651e+30
2019-05-01,6.42137715e+15
2019-05-02,-1.267651e+30
2019-05-03,-1.267651e+30
2019-05-04,-1.267651e+30
2019-05-05,5.79001159e+15
2019-05-06,5.79684112e+15
2019-05-07,6.8328785e+15
2019-05-08,7.34219076e+15
2019-05-09,7.3786459e+15
2019-05-10,5.61028278e+15
2019-05-11,-1.267651e+30
2019-05-12,-1.267651e+30
2019-05-13,4.68520212e+15
2019-05-14,5.81768782e+15
2019-05-15,5.01830529e+15
2019-05-16,5.37445095e+15
2019-05-17,5.14299624e+15
2019-05-18,-1.267651e+30
2019-05-19,6.59529541e+15
2019-05-20,-1.267651e+30
2019-05-21,-1.267651e+30
2019-05-22,3.72448021e+15
2019-05-23,5.64766564e+15
2019-05-24,6.31885145e+15
2019-05-25,4.54606612e+15
2019-05-26,5.17651685e+15
2019-05-27,-1.267651e+30
2019-05-28,-1.267651e+30
2019-05-29,5.7757276e+15
2019-05-30,8.21185399e+15
2019-05-31,5.61486873e+15
2019-06-01,7.38567032e+15
2019-06-02,6.12256178e+15
2019-06-03,-1.267651e+30
2019-06-04,-1.267651e+30
2019-06-05,3.1440127e+15
2019-06-06,6.85170442e+15
2019-06-07,5.23314438e+15
2019-06-08,4.57408165e+15
2019-06-09,-1.267651e+30
2019-06-10,5.83495144e+15
2019-06-11,7.75355682e+15
2019-06-12,-1.267651e+30
2019-06-13,7.01743003e+15
2019-06-14,6.09531665e+15
2019-06-15,-1.267651e+30
2019-06-16,4.81391048e+15
2019-06-17,6.45702216e+15
2019-06-18,7.59513427e+15
2019-06-19,-1.267651e+30
2019-06-20,6.00791783e+15
2019-06-21,-1.267651e+30
2019-06-22,6.48060851e+15
2019-06-23,5.92654162e+15
2019-06-24,6.85694696e+15
2019-06-25,6.7926454e+15
2019-06-26,7.78818768e+15
2019-06-27,6.63247855e+15
2019-06-28,-1.267651e+30
2019-06-29,5.12520702e+15
2019-06-30,6.44404867e+15
2019-07-01,6.98457567e+15
2019-07-02,4.83561832e+15
2019-07-03,6.50182887e+15
2019-07-04,5.67838109e+15
2019-07-05,-1.267651e+30
2019-07-06,-1.267651e+30
2019-07-07,-1.267651e+30
2019-07-08,6.7097681e+15
2019-07-09,5.67687088e+15
2019-07-10,6.63260686e+15
2019-07-11,4.96558993e+15
2019-07-12,5.23392231e+15
2019-07-13,5.90457555e+15
2019-07-14,-1.267651e+30
2019-07-15,5.37683198e+15
2019-07-16,3.15306837e+15
2019-07-17,6.98509e+15
2019-07-18,5.25931845e+15
2019-07-19,4.53358011e+15
2019-07-20,6.05861401e+15
2019-07-21,-1.267651e+30
2019-07-22,5.75863471e+15
2019-07-23,6.24732521e+15
2019-07-24,5.56041821e+15
2019-07-25,5.67565755e+15
2019-07-26,5.63387342e+15
2019-07-27,4.90248935e+15
2019-07-28,5.22332824e+15
2019-07-29,5.47377583e+15
2019-07-30,-1.267651e+30
2019-07-31,4.97834652e+15
2019-08-01,6.72117124e+15
2019-08-02,6.17010224e+15
2019-08-03,5.65375966e+15
2019-08-04,5.56940543e+15
2019-08-05,6.67458319e+15
2019-08-06,-1.267651e+30
2019-08-07,-1.267651e+30
2019-08-08,-1.267651e+30
2019-08-09,5.63510554e+15
2019-08-10,5.23178825e+15
2019-08-11,5.84347856e+15
2019-08-12,4.95380025e+15
2019-08-13,-3.42631768e+15
2019-08-14,5.64865079e+15
2019-08-15,-1.267651e+30
2019-08-16,5.58008057e+15
2019-08-17,-1.267651e+30
2019-08-18,6.07088957e+15
2019-08-19,5.10035097e+15
2019-08-20,-1.267651e+30
2019-08-21,5.4454414e+15
2019-08-22,-1.267651e+30
2019-08-23,4.92514584e+15
2019-08-24,-1.267651e+30
2019-08-25,7.56100055e+15
2019-08-26,-1.267651e+30
2019-08-27,4.53611414e+15
2019-08-28,4.43026252e+15
2019-08-29,-1.267651e+30
2019-08-30,6.1977484e+15
2019-08-31,-1.267651e+30
2019-09-01,3.34950353e+15
2019-09-02,3.99167442e+15
2019-09-03,6.95411845e+15
2019-09-04,4.34810678e+15
2019-09-05,4.96137979e+15
2019-09-06,-1.267651e+30
2019-09-07,-1.267651e+30
2019-09-08,-1.267651e+30
2019-09-09,-1.267651e+30
2019-09-10,4.90242277e+15
2019-09-11,4.66406283e+15
2019-09-12,4.17285279e+15
2019-09-13,5.0539111e+15
2019-09-14,-1.267651e+30
2019-09-15,4.23118515e+15
2019-09-16,-1.267651e+30
2019-09-17,5.3557512e+15
2019-09-18,3.57294437e+15
2019-09-19,6.66136167e+15
2019-09-20,5.8991145e+15
2019-09-21,-1.267651e+30
2019-09-22,-1.267651e+30
2019-09-23,-1.267651e+30
2019-09-24,5.82839464e+15
2019-09-25,-1.267651e+30
2019-09-26,5.01706297e+15
2019-09-27,-1.267651e+30
2019-09-28,3.02069801e+15
2019-09-29,4.8201924e+15
2019-09-30,-1.267651e+30
2019-10-01,5.53460277e+15
2019-10-02,-1.267651e+30
2019-10-03,7.59912322e+15
2019-10-04,-1.267651e+30
2019-10-05,8.59231669e+15
2019-10-06,4.40787286e+15
2019-10-07,5.6588406e+15
2019-10-08,8.17844666e+15
2019-10-09,-1.267651e+30
2019-10-10,-1.267651e+30
2019-10-11,-1.267651e+30
2019-10-12,4.79912988e+15
2019-10-13,4.4486525e+15
2019-10-14,5.61530467e+15
2019-10-15,5.59580766e+15
2019-10-16,-1.267651e+30
2019-10-17,8.49251829e+15
2019-10-18,-1.267651e+30
2019-10-19,7.70252992e+15
2019-10-20,3.79037092e+15
2019-10-21,-1.267651e+30
2019-10-22,4.28112354e+15
2019-10-23,9.14683186e+15
2019-10-24,7.0382735e+15
2019-10-25,-1.267651e+30
2019-10-26,-1.267651e+30
2019-10-27,-1.267651e+30
2019-10-28,-1.267651e+30
2019-10-29,3.49376289e+15
2019-10-30,-1.267651e+30
2019-10-31,-1.267651e+30
2019-11-01,-1.267651e+30
2019-11-02,5.16879611e+15
2019-11-03,-1.267651e+30
2019-11-04,6.02699661e+15
2019-11-05,3.9119762e+15
2019-11-06,5.12402269e+15
2019-11-07,7.07236051e+15
2019-11-08,6.91761445e+15
2019-11-09,8.03798083e+15
2019-11-10,-1.267651e+30
2019-11-11,-1.267651e+30
2019-11-12,-1.267651e+30
2019-11-13,-1.267651e+30
2019-11-14,3.34402449e+15
2019-11-15,6.18114191e+15
2019-11-16,1.06200937e+16
2019-11-17,-1.267651e+30
2019-11-18,-1.267651e+30
2019-11-19,-1.267651e+30
2019-11-20,8.80563107e+15
2019-11-21,-1.267651e+30
2019-11-22,3.36662998e+15
2019-11-23,5.31125212e+15
2019-11-24,7.08726995e+15
2019-11-25,6.36204647e+15
2019-11-26,-1.267651e+30
2019-11-27,-1.267651e+30
2019-11-28,-1.267651e+30
2019-11-29,-1.267651e+30
2019-11-30,-1.267651e+30
2019-12-01,-1.267651e+30
2019-12-02,2.83430824e+15
2019-12-03,-1.267651e+30
2019-12-04,5.21434961e+15
2019-12-05,-1.267651e+30
2019-12-06,5.99100962e+15
2019-12-07,6.24346672e+15
2019-12-08,-1.267651e+30
2019-12-09,-1.267651e+30
2019-12-10,-1.267651e+30
2019-12-11,6.2515681e+15
2019-12-12,-1.267651e+30
2019-12-13,9.39083754e+15
2019-12-14,-1.267651e+30
2019-12-15,6.27354545e+15
2019-12-16,5.48295632e+15
2019-12-17,-1.267651e+30
2019-12-18,6.7282837e+15
2019-12-19,-1.267651e+30
2019-12-20,1.13927594e+16
2019-12-21,-1.267651e+30
2019-12-22,3.74970751e+15
2019-12-23,2.80696997e+15
2019-12-24,3.67819281e+15
2019-12-25,3.59461839e+15
2019-12-26,8.3891191e+15
2019-12-27,4.60882901e+15
2019-12-28,-1.267651e+30
2019-12-29,-1.267651e+30
2019-12-30,-1.267651e+30
2019-12-31,-1.267651e+30
2020-01-01,4.90841533e+15
2020-01-02,6.53984309e+15
2020-01-03,-1.267651e+30
2020-01-04,-1.267651e+30
2020-01-05,5.49649997e+15
2020-01-06,-1.267651e+30
2020-01-07,5.57697101e+15
2020-01-08,6.56322435e+15
2020-01-09,-1.267651e+30
2020-01-10,3.86343368e+15
2020-01-11,-1.267651e+30
2020-01-12,-1.267651e+30
2020-01-13,-1.267651e+30
2020-01-14,5.40462042e+15
2020-01-15,-1.267651e+30
2020-01-16,4.78158548e+15
2020-01-17,-1.267651e+30
2020-01-18,-1.267651e+30
2020-01-19,5.43482746e+15
2020-01-20,-1.267651e+30
2020-01-21,7.32531637e+15
2020-01-22,-1.267651e+30
2020-01-23,-1.267651e+30
2020-01-24,3.90243386e+15
2020-01-25,-1.267651e+30
2020-01-26,-1.267651e+30
2020-01-27,-1.267651e+30
2020-01-28,2.47663813e+15
2020-01-29,-1.267651e+30
2020-01-30,2.52303747e+15
2020-01-31,-1.267651e+30
2020-02-01,2.1631682e+15
2020-02-02,4.52968833e+15
2020-02-03,7.6260736e+15
2020-02-04,2.32718374e+15
2020-02-05,-1.267651e+30
2020-02-06,3.32529387e+15
2020-02-07,-1.267651e+30
2020-02-08,3.54711685e+15
2020-02-09,-1.267651e+30
2020-02-10,2.35624107e+15
2020-02-11,7.25864237e+15
2020-02-12,-1.267651e+30
2020-02-13,2.74711745e+15
2020-02-14,-1.267651e+30
2020-02-15,2.4274774e+15
2020-02-16,-1.267651e+30
2020-02-17,-1.267651e+30
2020-02-18,3.4483216e+15
2020-02-19,5.952844e+15
2020-02-20,6.92984115e+15
2020-02-21,-1.267651e+30
2020-02-22,4.89859113e+15
2020-02-23,-1.267651e+30
2020-02-24,-1.267651e+30
2020-02-25,-1.267651e+30
2020-02-26,-1.267651e+30
2020-02-27,3.46103041e+15
2020-02-28,3.04948691e+15
2020-02-29,5.17450358e+15
2020-03-01,-1.267651e+30
2020-03-02,7.95795861e+15
2020-03-03,-1.267651e+30
2020-03-04,5.38392834e+15
2020-03-05,5.3051436e+15
2020-03-06,2.51516962e+15
2020-03-07,4.37500616e+15
2020-03-08,-1.267651e+30
2020-03-09,-1.267651e+30
2020-03-10,-1.267651e+30
2020-03-11,-1.267651e+30
2020-03-12,-1.267651e+30
2020-03-13,3.98905154e+15
2020-03-14,-1.267651e+30
2020-03-15,5.34188866e+15
2020-03-16,-1.267651e+30
2020-03-17,-1.267651e+30
2020-03-18,-1.267651e+30
2020-03-19,-1.267651e+30
2020-03-20,-1.267651e+30
2020-03-21,8.09232075e+15
2020-03-22,-1.267651e+30
2020-03-23,3.32928309e+15
2020-03-24,-1.267651e+30
2020-03-25,1.04305031e+16
2020-03-26,-1.267651e+30
2020-03-27,4.36543187e+15
2020-03-28,-1.267651e+30
2020-03-29,-1.267651e+30
2020-03-30,3.36523841e+15
2020-03-31,-1.267651e+30
2020-04-01,6.94454067e+15
2020-04-02,-1.267651e+30
2020-04-03,6.83773719e+15
2020-04-04,-1.267651e+30
2020-04-05,4.77808777e+15
2020-04-06,5.72339289e+15
2020-04-07,4.59805831e+15
2020-04-08,6.55179168e+15
2020-04-09,-1.267651e+30
2020-04-10,4.79888776e+15
2020-04-11,-1.267651e+30
2020-04-12,1.19748466e+16
2020-04-13,2.41342883e+15
2020-04-14,6.43332736e+15
2020-04-15,4.6729475e+15
2020-04-16,6.0385447e+15
2020-04-17,3.61781121e+15
2020-04-18,-1.267651e+30
2020-04-19,4.77274697e+15
2020-04-20,-1.267651e+30
2020-04-21,4.3847093e+15
2020-04-22,4.17670618e+15
2020-04-23,-1.267651e+30
2020-04-24,6.71364914e+15
2020-04-25,-1.267651e+30
2020-04-26,5.37376752e+15
2020-04-27,-1.267651e+30
2020-04-28,6.72288815e+15
2020-04-29,-1.267651e+30
2020-04-30,4.90000739e+15
2020-05-01,4.53803506e+15
2020-05-02,4.61867415e+15
2020-05-03,5.08787356e+15
2020-05-04,-1.267651e+30
2020-05-05,-1.267651e+30
2020-05-06,-1.267651e+30
2020-05-07,5.24559657e+15
2020-05-08,4.44458758e+15
2020-05-09,6.05037251e+15
2020-05-10,-1.267651e+30
2020-05-11,1.04935822e+16
2020-05-12,6.45500245e+15
2020-05-13,-1.267651e+30
2020-05-14,7.07151494e+15
2020-05-15,4.56220392e+15
2020-05-16,6.80373447e+15
2020-05-17,-1.267651e+30
2020-05-18,-1.267651e+30
2020-05-19,-1.267651e+30
2020-05-20,-1.267651e+30
2020-05-21,3.96644364e+15
2020-05-22,-1.267651e+30
2020-05-23,5.60185712e+15
2020-05-24,5.02360259e+15
2020-05-25,6.24953175e+15
2020-05-26,5.16520713e+15
2020-05-27,9.19158435e+15
2020-05-28,6.71295604e+15
2020-05-29,-1.267651e+30
2020-05-30,5.13927143e+15
2020-05-31,3.82565166e+15
2020-06-01,4.80520619e+15
2020-06-02,4.24899826e+15
2020-06-03,5.50658455e+15
2020-06-04,5.55018813e+15
2020-06-05,-1.267651e+30
2020-06-06,5.40803491e+15
2020-06-07,-1.267651e+30
2020-06-08,5.0814907e+15
2020-06-09,3.60889593e+15
2020-06-10,5.01914012e+15
2020-06-11,5.68246078e+15
2020-06-12,4.09386404e+15
2020-06-13,4.68960661e+15
2020-06-14,-1.267651e+30
2020-06-15,5.69481364e+15
2020-06-16,5.35869004e+15
2020-06-17,6.45705813e+15
2020-06-18,5.70227561e+15
2020-06-19,4.69970085e+15
2020-06-20,6.06759855e+15
2020-06-21,-1.267651e+30
2020-06-22,7.75809767e+15
2020-06-23,7.60989875e+15
2020-06-24,5.92675905e+15
2020-06-25,5.2599686e+15
2020-06-26,6.4742745e+15
2020-06-27,5.82504993e+15
2020-06-28,5.01613633e+15
2020-06-29,4.45958856e+15
2020-06-30,-1.267651e+30
2020-07-01,5.96100336e+15
2020-07-02,5.89848528e+15
2020-07-03,6.43593816e+15
2020-07-04,4.70042939e+15
2020-07-05,6.11615691e+15
2020-07-06,6.88665418e+15
2020-07-07,-1.267651e+30
2020-07-08,5.22553692e+15
2020-07-09,-1.267651e+30
2020-07-10,5.46696509e+15
2020-07-11,6.36474962e+15
2020-07-12,5.83243674e+15
2020-07-13,4.56954187e+15
2020-07-14,1.40136998e+14
2020-07-15,-1.267651e+30
2020-07-16,-1.267651e+30
2020-07-17,5.04409066e+15
2020-07-18,3.61167263e+15
2020-07-19,6.8432385e+15
2020-07-20,5.72356737e+15
2020-07-21,3.69385012e+15
2020-07-22,4.62725979e+15
2020-07-23,-1.267651e+30
2020-07-24,5.21028496e+15
2020-07-25,5.41147196e+15
2020-07-26,5.52372737e+15
2020-07-27,3.75027552e+15
2020-07-28,5.31067821e+15
2020-07-29,3.97032843e+15
2020-07-30,6.72069825e+15
2020-07-31,4.72799771e+15
2020-08-01,-1.267651e+30
2020-08-02,4.83223281e+15
2020-08-03,4.76871024e+15
2020-08-04,5.29135944e+15
2020-08-05,5.5006489e+15
2020-08-06,3.49978363e+15
2020-08-07,6.12685406e+15
2020-08-08,-1.267651e+30
2020-08-09,4.72636347e+15
2020-08-10,6.51763649e+15
2020-08-11,5.31531946e+15
2020-08-12,5.31270382e+15
2020-08-13,5.03205026e+15
2020-08-14,4.64539636e+15
2020-08-15,-1.267651e+30
2020-08-16,4.41245344e+15
2020-08-17,-1.267651e+30
2020-08-18,5.03741145e+15
2020-08-19,4.21849809e+15
2020-08-20,6.60254746e+15
2020-08-21,4.47813772e+15
2020-08-22,7.01029072e+15
2020-08-23,5.4857094e+15
2020-08-24,-1.267651e+30
2020-08-25,6.36176461e+15
2020-08-26,-1.267651e+30
2020-08-27,5.47071943e+15
2020-08-28,3.34482121e+15
2020-08-29,5.13286119e+15
2020-08-30,4.16866439e+15
2020-08-31,-1.267651e+30
2020-09-01,-1.267651e+30
2020-09-02,-1.267651e+30
2020-09-03,5.2092037e+15
2020-09-04,3.57728497e+15
2020-09-05,4.5654944e+15
2020-09-06,4.34741422e+15
2020-09-07,4.47443519e+15
2020-09-08,-1.267651e+30
2020-09-09,-1.267651e+30
2020-09-10,-1.267651e+30
2020-09-11,-1.267651e+30
2020-09-12,-1.267651e+30
2020-09-13,3.58104844e+15
2020-09-14,4.9923202e+15
2020-09-15,4.90416599e+15
2020-09-16,-1.267651e+30
2020-09-17,4.69917794e+15
2020-09-18,-1.267651e+30
2020-09-19,4.52241319e+15
2020-09-20,3.97924425e+15
2020-09-21,4.00252431e+15
2020-09-22,5.31926385e+15
2020-09-23,4.64354953e+15
2020-09-24,4.89106957e+15
2020-09-25,-1.267651e+30
2020-09-26,3.74629972e+15
2020-09-27,-1.267651e+30
2020-09-28,-1.267651e+30
2020-09-29,3.27569854e+15
2020-09-30,3.39323757e+15
2020-10-01,7.40045199e+15
2020-10-02,-1.267651e+30
2020-10-03,3.6181787e+15
2020-10-04,-1.267651e+30
2020-10-05,6.2210894e+15
2020-10-06,4.34695465e+15
2020-10-07,5.54220916e+15
2020-10-08,5.95442025e+15
2020-10-09,7.19349792e+15
2020-10-10,5.72561553e+15
2020-10-11,-1.267651e+30
2020-10-12,-1.267651e+30
2020-10-13,-1.267651e+30
2020-10-14,5.85307513e+15
2020-10-15,4.82793247e+15
2020-10-16,5.85595383e+15
2020-10-17,6.21546729e+15
2020-10-18,-1.267651e+30
2020-10-19,6.98573746e+15
2020-10-20,-1.267651e+30
2020-10-21,7.31256837e+15
2020-10-22,3.98711988e+15
2020-10-23,-1.267651e+30
2020-10-24,3.76660847e+15
2020-10-25,-1.267651e+30
2020-10-26,5.60595023e+15
2020-10-27,-1.267651e+30
2020-10-28,6.71559529e+15
2020-10-29,-1.267651e+30
2020-10-30,6.68667835e+15
2020-10-31,6.03089429e+15
2020-11-01,-1.267651e+30
2020-11-02,6.88737251e+15
2020-11-03,-1.267651e+30
2020-11-04,7.29275622e+15
2020-11-05,-1.267651e+30
2020-11-06,7.35255666e+15
2020-11-07,3.66767632e+15
2020-11-08,5.67975924e+15
2020-11-09,4.70939835e+15
2020-11-10,-1.267651e+30
2020-11-11,4.68276634e+15
2020-11-12,-1.267651e+30
2020-11-13,7.36325596e+15
2020-11-14,-1.267651e+30
2020-11-15,-1.267651e+30
2020-11-16,7.02734764e+15
2020-11-17,5.21400923e+15
2020-11-18,5.79828423e+15
2020-11-19,-1.267651e+30
2020-11-20,8.00306167e+15
2020-11-21,-1.267651e+30
2020-11-22,7.32240223e+15
2020-11-23,4.71176434e+15
2020-11-24,-1.267651e+30
2020-11-25,-1.267651e+30
2020-11-26,-1.267651e+30
2020-11-27,4.14944414e+15
2020-11-28,-1.267651e+30
2020-11-29,6.2557616e+15
2020-11-30,-1.267651e+30
2020-12-01,3.16701439e+15
2020-12-02,5.20988928e+15
2020-12-03,7.15714048e+15
2020-12-04,6.5966757e+15
