Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2020-12-04T23:59:59Z
User Bounding Box:,"109.248,29.3555,115.4883,33.3984"
Data Bounding Box:,"109.375,29.375,115.375,33.375"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2020-12-04T23:59:59Z&bbox=109.248,29.3555,115.4883,33.3984&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2005-01-01,6.31796991e+15
2005-01-02,5.64222982e+15
2005-01-03,8.96071912e+15
2005-01-04,2.19231495e+16
2005-01-05,7.61793034e+15
2005-01-06,4.50403449e+15
2005-01-07,1.87476525e+16
2005-01-08,1.39403611e+16
2005-01-09,2.09938839e+16
2005-01-10,9.52907429e+15
2005-01-11,2.57483268e+16
2005-01-12,1.64288093e+16
2005-01-13,1.84220102e+16
2005-01-14,9.32039256e+15
2005-01-15,8.02985368e+15
2005-01-16,9.92279179e+15
2005-01-17,8.97762626e+15
2005-01-18,3.65805586e+16
2005-01-19,1.59315004e+16
2005-01-20,2.72343447e+16
2005-01-21,-1.267651e+30
2005-01-22,4.4260701e+15
2005-01-23,3.44982269e+15
2005-01-24,-1.267651e+30
2005-01-25,1.42176367e+16
2005-01-26,-1.267651e+30
2005-01-27,4.762249e+15
2005-01-28,4.48038291e+15
2005-01-29,2.32320794e+16
2005-01-30,1.48849211e+16
2005-01-31,1.15166606e+16
2005-02-01,1.30287973e+16
2005-02-02,1.04086589e+16
2005-02-03,8.96597294e+15
2005-02-04,8.14784448e+15
2005-02-05,-1.267651e+30
2005-02-06,-1.267651e+30
2005-02-07,5.14626364e+15
2005-02-08,3.1272073e+15
2005-02-09,8.93698137e+15
2005-02-10,9.26670118e+15
2005-02-11,-1.267651e+30
2005-02-12,3.22311177e+15
2005-02-13,3.40785039e+15
2005-02-14,-1.267651e+30
2005-02-15,4.97034607e+15
2005-02-16,-1.267651e+30
2005-02-17,-1.267651e+30
2005-02-18,1.24271829e+16
2005-02-19,1.27613937e+16
2005-02-20,8.16044967e+15
2005-02-21,8.75394758e+15
2005-02-22,-1.267651e+30
2005-02-23,1.04245524e+16
2005-02-24,6.78106778e+15
2005-02-25,5.66778863e+15
2005-02-26,8.72280746e+15
2005-02-27,8.4279907e+15
2005-02-28,8.80531593e+15
2005-03-01,7.08723828e+15
2005-03-02,4.40769838e+15
2005-03-03,7.5563695e+15
2005-03-04,9.39611499e+15
2005-03-05,5.3492556e+15
2005-03-06,6.79749656e+15
2005-03-07,7.77524909e+15
2005-03-08,8.1009429e+15
2005-03-09,8.4989543e+15
2005-03-10,6.14018027e+15
2005-03-11,-1.267651e+30
2005-03-12,1.39827481e+16
2005-03-13,8.14017099e+15
2005-03-14,5.02180461e+15
2005-03-15,6.29852229e+15
2005-03-16,-1.267651e+30
2005-03-17,8.82957337e+15
2005-03-18,1.04081349e+16
2005-03-19,3.99151551e+15
2005-03-20,8.21261151e+15
2005-03-21,-1.267651e+30
2005-03-22,5.35583388e+15
2005-03-23,7.41968163e+15
2005-03-24,6.29507183e+15
2005-03-25,8.22221721e+15
2005-03-26,-1.267651e+30
2005-03-27,5.10924531e+15
2005-03-28,6.74890813e+15
2005-03-29,8.68557761e+15
2005-03-30,6.51660731e+15
2005-03-31,7.46483462e+15
2005-04-01,7.90913449e+15
2005-04-02,6.65188697e+15
2005-04-03,6.29349343e+15
2005-04-04,5.4965601e+15
2005-04-05,6.40765312e+15
2005-04-06,5.22676314e+15
2005-04-07,5.80462575e+15
2005-04-08,6.52435973e+15
2005-04-09,3.83387947e+15
2005-04-10,6.79655704e+15
2005-04-11,-1.267651e+30
2005-04-12,6.67173831e+15
2005-04-13,5.1324682e+15
2005-04-14,6.74417723e+15
2005-04-15,6.49100448e+15
2005-04-16,5.43573047e+15
2005-04-17,5.70106335e+15
2005-04-18,5.88408426e+15
2005-04-19,4.95382011e+15
2005-04-20,4.85030603e+15
2005-04-21,6.49589591e+15
2005-04-22,5.34240728e+15
2005-04-23,6.4150104e+15
2005-04-24,6.68559441e+15
2005-04-25,6.70104556e+15
2005-04-26,7.10402355e+15
2005-04-27,-1.267651e+30
2005-04-28,5.50638269e+15
2005-04-29,5.71569899e+15
2005-04-30,5.89243636e+15
2005-05-01,6.28529755e+15
2005-05-02,6.40006499e+15
2005-05-03,7.55380165e+15
2005-05-04,3.97516806e+15
2005-05-05,6.41440803e+15
2005-05-06,4.97065692e+15
2005-05-07,6.52633756e+15
2005-05-08,6.09495695e+15
2005-05-09,7.09987407e+15
2005-05-10,5.800283e+15
2005-05-11,5.98422572e+15
2005-05-12,5.93121132e+15
2005-05-13,-1.267651e+30
2005-05-14,-1.267651e+30
2005-05-15,4.61539279e+15
2005-05-16,5.55681795e+15
2005-05-17,5.14889592e+15
2005-05-18,6.23670483e+15
2005-05-19,5.64302922e+15
2005-05-20,7.71157674e+15
2005-05-21,6.62787274e+15
2005-05-22,6.85970916e+15
2005-05-23,9.92776214e+15
2005-05-24,6.00257811e+15
2005-05-25,5.81617116e+15
2005-05-26,4.42171071e+15
2005-05-27,6.60313694e+15
2005-05-28,7.81901695e+15
2005-05-29,-1.267651e+30
2005-05-30,6.65458958e+15
2005-05-31,6.29024267e+15
2005-06-01,6.60643333e+15
2005-06-02,6.48891283e+15
2005-06-03,7.84190644e+15
2005-06-04,8.14793145e+15
2005-06-05,6.61874969e+15
2005-06-06,4.39172325e+15
2005-06-07,5.78926695e+15
2005-06-08,5.52778666e+15
2005-06-09,4.46809045e+15
2005-06-10,5.45567791e+15
2005-06-11,6.08699677e+15
2005-06-12,5.76551846e+15
2005-06-13,6.08324511e+15
2005-06-14,6.19531584e+15
2005-06-15,7.68137238e+15
2005-06-16,6.53799357e+15
2005-06-17,6.2616194e+15
2005-06-18,4.57131677e+15
2005-06-19,5.92602622e+15
2005-06-20,5.89406737e+15
2005-06-21,5.8801098e+15
2005-06-22,7.00077898e+15
2005-06-23,6.50446812e+15
2005-06-24,6.92993134e+15
2005-06-25,4.957284e+15
2005-06-26,5.18238914e+15
2005-06-27,4.79860751e+15
2005-06-28,5.74929315e+15
2005-06-29,5.40008761e+15
2005-06-30,-1.267651e+30
2005-07-01,4.48199755e+15
2005-07-02,4.26206221e+15
2005-07-03,4.93954364e+15
2005-07-04,4.79607079e+15
2005-07-05,5.11210254e+15
2005-07-06,4.81474692e+15
2005-07-07,4.4890064e+15
2005-07-08,4.5887393e+15
2005-07-09,4.10313043e+15
2005-07-10,5.5591775e+15
2005-07-11,4.52244917e+15
2005-07-12,5.2467299e+15
2005-07-13,5.06957539e+15
2005-07-14,5.0247778e+15
2005-07-15,4.72941129e+15
2005-07-16,5.11887517e+15
2005-07-17,5.69244067e+15
2005-07-18,5.11564213e+15
2005-07-19,4.97550057e+15
2005-07-20,3.97390212e+15
2005-07-21,3.98656475e+15
2005-07-22,4.96813953e+15
2005-07-23,4.81731209e+15
2005-07-24,5.74741249e+15
2005-07-25,5.03187953e+15
2005-07-26,4.55268681e+15
2005-07-27,4.7350581e+15
2005-07-28,4.77968442e+15
2005-07-29,4.82766296e+15
2005-07-30,4.43122513e+15
2005-07-31,4.82002544e+15
2005-08-01,-1.267651e+30
2005-08-02,5.1227503e+15
2005-08-03,5.04688722e+15
2005-08-04,5.70007981e+15
2005-08-05,5.46765121e+15
2005-08-06,4.88906006e+15
2005-08-07,5.21401406e+15
2005-08-08,4.73921348e+15
2005-08-09,6.45031932e+15
2005-08-10,4.6688952e+15
2005-08-11,4.40995646e+15
2005-08-12,4.82691242e+15
2005-08-13,5.5082714e+15
2005-08-14,4.85013906e+15
2005-08-15,5.62104382e+15
2005-08-16,5.408342e+15
2005-08-17,5.65084713e+15
2005-08-18,-1.267651e+30
2005-08-19,-1.267651e+30
2005-08-20,-1.267651e+30
2005-08-21,5.13277744e+15
2005-08-22,-1.267651e+30
2005-08-23,-1.267651e+30
2005-08-24,5.10228639e+15
2005-08-25,5.95308237e+15
2005-08-26,4.9781962e+15
2005-08-27,6.32267988e+15
2005-08-28,3.80152065e+15
2005-08-29,5.11056387e+15
2005-08-30,5.06634396e+15
2005-08-31,4.68148912e+15
2005-09-01,5.18993916e+15
2005-09-02,-1.267651e+30
2005-09-03,6.00183132e+15
2005-09-04,3.62196874e+15
2005-09-05,3.76180885e+15
2005-09-06,5.11618383e+15
2005-09-07,5.57957537e+15
2005-09-08,6.82963205e+15
2005-09-09,6.45100437e+15
2005-09-10,6.57631917e+15
2005-09-11,5.96387455e+15
2005-09-12,5.04695326e+15
2005-09-13,5.4331041e+15
2005-09-14,5.37332943e+15
2005-09-15,5.64406699e+15
2005-09-16,5.37853493e+15
2005-09-17,4.44792585e+15
2005-09-18,5.46560734e+15
2005-09-19,5.48462921e+15
2005-09-20,5.39416324e+15
2005-09-21,7.94786651e+15
2005-09-22,4.80618329e+15
2005-09-23,6.24201609e+15
2005-09-24,4.40160086e+15
2005-09-25,-1.267651e+30
2005-09-26,5.29010048e+15
2005-09-27,4.47974592e+15
2005-09-28,5.06643469e+15
2005-09-29,5.8646345e+15
2005-09-30,6.09787216e+15
2005-10-01,7.45242485e+15
2005-10-02,-1.267651e+30
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,4.22846375e+15
2005-10-06,6.45330433e+15
2005-10-07,7.35084351e+15
2005-10-08,5.45387027e+15
2005-10-09,7.09511471e+15
2005-10-10,7.24538756e+15
2005-10-11,6.56068871e+15
2005-10-12,1.18480689e+16
2005-10-13,3.87921205e+15
2005-10-14,-1.267651e+30
2005-10-15,4.98128374e+15
2005-10-16,6.56993416e+15
2005-10-17,9.40621245e+15
2005-10-18,8.50895191e+15
2005-10-19,1.14349553e+16
2005-10-20,6.46791366e+15
2005-10-21,-1.267651e+30
2005-10-22,6.59331221e+15
2005-10-23,6.41207425e+15
2005-10-24,5.13089732e+15
2005-10-25,6.40938668e+15
2005-10-26,7.8480708e+15
2005-10-27,4.29678031e+15
2005-10-28,-1.267651e+30
2005-10-29,5.79969942e+15
2005-10-30,7.02033396e+15
2005-10-31,6.9436892e+15
2005-11-01,8.72396603e+15
2005-11-02,6.55762479e+15
2005-11-03,6.54830041e+15
2005-11-04,7.8668339e+15
2005-11-05,-1.267651e+30
2005-11-06,9.22018131e+15
2005-11-07,7.15160481e+15
2005-11-08,1.23771025e+16
2005-11-09,9.33744466e+15
2005-11-10,1.82830144e+16
2005-11-11,7.67349058e+15
2005-11-12,4.40689119e+15
2005-11-13,-1.267651e+30
2005-11-14,1.12578931e+16
2005-11-15,1.0968306e+16
2005-11-16,8.81551862e+15
2005-11-17,9.80409286e+15
2005-11-18,1.35752857e+16
2005-11-19,8.56216602e+15
2005-11-20,7.11366306e+15
2005-11-21,8.33571816e+15
2005-11-22,8.15919286e+15
2005-11-23,6.95927026e+15
2005-11-24,5.81982833e+15
2005-11-25,7.06991292e+15
2005-11-26,5.40615157e+15
2005-11-27,9.61529576e+15
2005-11-28,8.67480046e+15
2005-11-29,6.29754626e+15
2005-11-30,6.63439679e+15
2005-12-01,-1.267651e+30
2005-12-02,1.39938055e+16
2005-12-03,1.14032681e+16
2005-12-04,7.06918224e+15
2005-12-05,1.02601432e+16
2005-12-06,9.95072519e+15
2005-12-07,-1.267651e+30
2005-12-08,6.48292242e+15
2005-12-09,1.08309508e+16
2005-12-10,-1.267651e+30
2005-12-11,3.37246093e+16
2005-12-12,1.55309196e+16
2005-12-13,2.10632498e+16
2005-12-14,1.16942575e+16
2005-12-15,7.71891469e+15
2005-12-16,8.18248125e+15
2005-12-17,1.2857515e+16
2005-12-18,1.20025052e+16
2005-12-19,1.09503488e+16
2005-12-20,3.22851103e+16
2005-12-21,6.78568594e+15
2005-12-22,6.1064825e+15
2005-12-23,8.30304742e+15
2005-12-24,1.12625435e+16
2005-12-25,1.13484997e+16
2005-12-26,1.16937442e+16
2005-12-27,1.48580292e+16
2005-12-28,8.64470992e+15
2005-12-29,2.57549244e+15
2005-12-30,-1.267651e+30
2005-12-31,-1.267651e+30
2006-01-01,1.54626844e+16
2006-01-02,4.47471651e+15
2006-01-03,-1.267651e+30
2006-01-04,-1.267651e+30
2006-01-05,4.2799624e+16
2006-01-06,9.59756828e+15
2006-01-07,9.85771015e+15
2006-01-08,-1.267651e+30
2006-01-09,5.45014277e+15
2006-01-10,5.90931397e+15
2006-01-11,9.14108842e+15
2006-01-12,1.4368317e+16
2006-01-13,1.145008e+16
2006-01-14,-1.267651e+30
2006-01-15,1.05717216e+16
2006-01-16,4.64331438e+15
2006-01-17,-1.267651e+30
2006-01-18,-1.267651e+30
2006-01-19,-1.267651e+30
2006-01-20,-1.267651e+30
2006-01-21,6.32882812e+15
2006-01-22,7.46537203e+15
2006-01-23,8.2236979e+15
2006-01-24,4.82051453e+15
2006-01-25,6.25901933e+15
2006-01-26,5.48564175e+15
2006-01-27,4.81617446e+15
2006-01-28,7.10779829e+15
2006-01-29,6.71590238e+15
2006-01-30,1.4144852e+16
2006-01-31,3.57928401e+15
2006-02-01,6.40442599e+15
2006-02-02,-1.267651e+30
2006-02-03,1.73964e+16
2006-02-04,6.50447725e+15
2006-02-05,3.92498888e+15
2006-02-06,3.69423183e+15
2006-02-07,6.78957986e+15
2006-02-08,-1.267651e+30
2006-02-09,-1.267651e+30
2006-02-10,4.12800876e+15
2006-02-11,5.70521283e+15
2006-02-12,5.67232626e+15
2006-02-13,7.02113014e+15
2006-02-14,8.38192933e+15
2006-02-15,-1.267651e+30
2006-02-16,1.61836934e+16
2006-02-17,2.47887624e+16
2006-02-18,5.91128751e+15
2006-02-19,6.31446146e+15
2006-02-20,5.60330131e+15
2006-02-21,5.05420209e+15
2006-02-22,1.35949115e+16
2006-02-23,8.53301607e+15
2006-02-24,9.80160607e+15
2006-02-25,4.75508553e+15
2006-02-26,-1.267651e+30
2006-02-27,-1.267651e+30
2006-02-28,-1.267651e+30
2006-03-03,6.67058994e+15
2006-03-04,6.10468237e+15
2006-03-05,7.78998834e+15
2006-03-06,7.88982003e+15
2006-03-07,6.5443834e+15
2006-03-08,6.28176172e+15
2006-03-09,5.34967544e+15
2006-03-10,8.75492791e+15
2006-03-11,-1.267651e+30
2006-03-12,9.89386519e+15
2006-03-13,6.21563909e+15
2006-03-14,6.5427336e+15
2006-03-15,4.93548651e+15
2006-03-16,5.85714408e+15
2006-03-17,6.21362314e+15
2006-03-18,1.10144393e+16
2006-03-19,7.6730643e+15
2006-03-20,6.46826531e+15
2006-03-21,7.02691278e+15
2006-03-22,7.13775354e+15
2006-03-23,1.15317531e+16
2006-03-24,6.26911143e+15
2006-03-25,5.51439602e+15
2006-03-26,7.73060183e+15
2006-03-27,5.95196085e+15
2006-03-28,6.59022037e+15
2006-03-29,6.10473176e+15
2006-03-30,6.74546089e+15
2006-03-31,6.33944958e+15
2006-04-01,6.31166489e+15
2006-04-02,5.76294041e+15
2006-04-03,6.20726122e+15
2006-04-04,6.70249511e+15
2006-04-05,7.66014289e+15
2006-04-06,5.50193739e+15
2006-04-07,5.34050514e+15
2006-04-08,8.65129679e+15
2006-04-09,4.9656506e+15
2006-04-10,6.79630471e+15
2006-04-11,4.57714718e+15
2006-04-12,-1.267651e+30
2006-04-13,5.54891306e+15
2006-04-14,5.31265872e+15
2006-04-15,7.47754826e+15
2006-04-16,4.89780085e+15
2006-04-17,5.40287773e+15
2006-04-18,5.47385099e+15
2006-04-19,5.79467324e+15
2006-04-20,6.58118107e+15
2006-04-21,4.74261563e+15
2006-04-22,6.86995642e+15
2006-04-23,5.66658443e+15
2006-04-24,5.7185224e+15
2006-04-25,3.31287229e+15
2006-04-26,4.99867299e+15
2006-04-27,-1.267651e+30
2006-04-28,5.26543395e+15
2006-04-29,5.50261063e+15
2006-04-30,4.30715614e+15
2006-05-01,5.33065678e+15
2006-05-02,5.78330178e+15
2006-05-03,5.00845585e+15
2006-05-04,4.87361535e+15
2006-05-05,-1.267651e+30
2006-05-06,5.23403827e+15
2006-05-07,6.61731356e+15
2006-05-08,-1.267651e+30
2006-05-09,3.19446622e+15
2006-05-10,4.96770574e+15
2006-05-11,4.55104076e+15
2006-05-12,-1.267651e+30
2006-05-13,6.22122792e+15
2006-05-14,5.34485433e+15
2006-05-15,5.66557887e+15
2006-05-16,5.33160168e+15
2006-05-17,6.38049121e+15
2006-05-18,4.99694588e+15
2006-05-19,6.84255184e+15
2006-05-20,5.36679464e+15
2006-05-21,5.81965116e+15
2006-05-22,5.24271786e+15
2006-05-23,5.69897815e+15
2006-05-24,7.24505631e+15
2006-05-25,4.33211688e+15
2006-05-26,5.9449987e+15
2006-05-27,4.99649007e+15
2006-05-28,6.61319844e+15
2006-05-29,6.76110369e+15
2006-05-30,6.49217593e+15
2006-05-31,6.43482308e+15
2006-06-01,6.73238915e+15
2006-06-02,7.81006463e+15
2006-06-03,-1.267651e+30
2006-06-04,6.45283886e+15
2006-06-05,5.34678278e+15
2006-06-06,6.01426257e+15
2006-06-07,6.127603e+15
2006-06-08,6.56578791e+15
2006-06-09,7.54543881e+15
2006-06-10,6.88318223e+15
2006-06-11,7.1884626e+15
2006-06-12,5.23266925e+15
2006-06-13,-1.267651e+30
2006-06-14,5.58115109e+15
2006-06-15,5.75185939e+15
2006-06-16,4.98648871e+15
2006-06-17,-1.267651e+30
2006-06-18,6.75925847e+15
2006-06-19,5.30630217e+15
2006-06-20,5.48035035e+15
2006-06-21,5.9565672e+15
2006-06-22,6.40963739e+15
2006-06-23,7.41878989e+15
2006-06-24,4.5628326e+15
2006-06-25,5.70293972e+15
2006-06-26,4.955129e+15
2006-06-27,5.28207641e+15
2006-06-28,4.48278622e+15
2006-06-29,4.81966412e+15
2006-06-30,4.62855043e+15
2006-07-01,4.52995408e+15
2006-07-02,5.30172052e+15
2006-07-03,3.92782866e+15
2006-07-04,5.03672103e+15
2006-07-05,-1.267651e+30
2006-07-06,5.24422379e+15
2006-07-07,4.56456293e+15
2006-07-08,4.38881153e+15
2006-07-09,4.72687243e+15
2006-07-10,4.68811572e+15
2006-07-11,4.7156937e+15
2006-07-12,4.80154527e+15
2006-07-13,4.95364241e+15
2006-07-14,5.001527e+15
2006-07-15,4.2042345e+15
2006-07-16,4.94855502e+15
2006-07-17,4.17455171e+15
2006-07-18,4.3012401e+15
2006-07-19,-1.267651e+30
2006-07-20,4.41188355e+15
2006-07-21,4.5644722e+15
2006-07-22,4.47856561e+15
2006-07-23,4.1912943e+15
2006-07-24,4.90734159e+15
2006-07-25,4.77606591e+15
2006-07-26,4.15248739e+15
2006-07-27,4.40313444e+15
2006-07-28,4.88059199e+15
2006-07-29,4.67468697e+15
2006-07-30,4.45016862e+15
2006-07-31,4.31613182e+15
2006-08-01,4.08670943e+15
2006-08-02,5.17691145e+15
2006-08-03,7.04386609e+15
2006-08-04,4.99273681e+15
2006-08-05,4.14282184e+15
2006-08-06,4.64327357e+15
2006-08-07,4.84073738e+15
2006-08-08,5.15984808e+15
2006-08-09,5.03681123e+15
2006-08-10,4.74875475e+15
2006-08-11,4.55792184e+15
2006-08-12,4.17764302e+15
2006-08-13,4.40851684e+15
2006-08-14,4.6029186e+15
2006-08-15,5.59509148e+15
2006-08-16,5.66470645e+15
2006-08-17,5.8220907e+15
2006-08-18,5.07019547e+15
2006-08-19,5.12208673e+15
2006-08-20,-1.267651e+30
2006-08-21,6.89680748e+15
2006-08-22,5.71646188e+15
2006-08-23,4.78059388e+15
2006-08-24,4.73143046e+15
2006-08-25,5.10256396e+15
2006-08-26,4.62479448e+15
2006-08-27,4.25927021e+15
2006-08-28,4.18951296e+15
2006-08-29,4.56024541e+15
2006-08-30,3.99816358e+15
2006-08-31,4.3140603e+15
2006-09-01,5.37913462e+15
2006-09-02,8.24017339e+15
2006-09-03,5.90315284e+15
2006-09-04,6.42602914e+15
2006-09-05,5.14134858e+15
2006-09-06,5.39504854e+15
2006-09-07,7.28174929e+15
2006-09-08,3.8012651e+15
2006-09-09,4.94686871e+15
2006-09-10,3.58675672e+15
2006-09-11,5.86928917e+15
2006-09-12,5.19009217e+15
2006-09-13,4.74448877e+15
2006-09-14,4.67027979e+15
2006-09-15,5.19657864e+15
2006-09-16,5.8689606e+15
2006-09-17,5.89254266e+15
2006-09-18,7.97963531e+15
2006-09-19,6.08513275e+15
2006-09-20,7.13430682e+15
2006-09-21,-1.267651e+30
2006-09-22,8.07531859e+15
2006-09-23,6.91009289e+15
2006-09-24,5.43251086e+15
2006-09-25,6.99894771e+15
2006-09-26,6.78237828e+15
2006-09-27,8.60553177e+15
2006-09-28,7.23675844e+15
2006-09-29,-1.267651e+30
2006-09-30,5.03772874e+15
2006-10-01,6.12799921e+15
2006-10-02,5.71320845e+15
2006-10-03,6.14020926e+15
2006-10-04,7.73865543e+15
2006-10-05,6.56639457e+15
2006-10-06,1.11860566e+16
2006-10-07,3.62357022e+15
2006-10-08,5.50266056e+15
2006-10-09,7.42137868e+15
2006-10-10,6.52720729e+15
2006-10-11,7.77656764e+15
2006-10-12,6.42987904e+15
2006-10-13,5.93120166e+15
2006-10-14,6.7822752e+15
2006-10-15,6.7557935e+15
2006-10-16,7.10816121e+15
2006-10-17,-1.267651e+30
2006-10-18,5.85779315e+15
2006-10-19,5.87888842e+15
2006-10-20,7.2697862e+15
2006-10-21,-1.267651e+30
2006-10-22,9.89109386e+15
2006-10-23,-1.267651e+30
2006-10-24,8.9647988e+15
2006-10-25,1.2307276e+16
2006-10-26,6.76593177e+15
2006-10-27,6.51695252e+15
2006-10-28,6.77196298e+15
2006-10-29,8.94741975e+15
2006-10-30,6.77627567e+15
2006-10-31,7.97967235e+15
2006-11-01,7.54937998e+15
2006-11-02,7.97284282e+15
2006-11-03,6.29043809e+15
2006-11-04,6.75316767e+15
2006-11-05,1.02135063e+16
2006-11-06,8.1684673e+15
2006-11-07,8.64827743e+15
2006-11-08,4.79467332e+15
2006-11-09,8.23581776e+15
2006-11-10,9.21748622e+15
2006-11-11,5.99271311e+15
2006-11-12,7.82772339e+15
2006-11-13,1.55581948e+16
2006-11-14,2.37681257e+16
2006-11-15,-1.267651e+30
2006-11-16,9.30866516e+15
2006-11-17,1.48544515e+16
2006-11-18,-1.267651e+30
2006-11-19,4.71054135e+15
2006-11-20,2.15644322e+15
2006-11-21,9.05349793e+15
2006-11-22,-1.267651e+30
2006-11-23,-1.267651e+30
2006-11-24,-1.267651e+30
2006-11-25,-1.267651e+30
2006-11-26,-1.267651e+30
2006-11-27,-1.267651e+30
2006-11-28,1.18633804e+16
2006-11-29,1.8076551e+16
2006-11-30,9.0961083e+15
2006-12-01,5.23037037e+15
2006-12-02,2.35960156e+16
2006-12-03,1.47362722e+16
2006-12-04,4.23779538e+15
2006-12-05,1.17000374e+16
2006-12-06,-1.267651e+30
2006-12-07,-1.267651e+30
2006-12-08,-1.267651e+30
2006-12-09,2.14360422e+16
2006-12-10,9.59686498e+15
2006-12-11,7.9062719e+15
2006-12-12,5.16581648e+15
2006-12-13,2.26455801e+16
2006-12-14,6.84305811e+15
2006-12-15,9.68970607e+15
