Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2018-11-30T00:00:00Z
User End Date:,2020-11-30T23:59:59Z
User Bounding Box:,"-119.8389,32.2559,-115.8838,35.2881"
Data Bounding Box:,"-119.625,32.375,-116.125,35.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-11-30T00:00:00Z&endtime=2020-11-30T23:59:59Z&bbox=-119.8389,32.2559,-115.8838,35.2881&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2018-11-30,4.15731494e+15
2018-12-01,4.10005363e+15
2018-12-02,3.50041741e+15
2018-12-03,-1.267651e+30
2018-12-04,5.53428763e+15
2018-12-05,-1.267651e+30
2018-12-06,5.18713347e+15
2018-12-07,3.44760031e+15
2018-12-08,4.11798861e+15
2018-12-09,3.76255724e+15
2018-12-10,-1.267651e+30
2018-12-11,7.4147945e+15
2018-12-12,-1.267651e+30
2018-12-13,4.52995945e+15
2018-12-14,-1.267651e+30
2018-12-15,6.42517497e+15
2018-12-16,6.68604914e+15
2018-12-17,5.78600009e+15
2018-12-18,5.8431253e+15
2018-12-19,-1.267651e+30
2018-12-20,6.46851871e+15
2018-12-21,-1.267651e+30
2018-12-22,7.52929886e+15
2018-12-23,5.61263749e+15
2018-12-24,5.56154886e+15
2018-12-25,4.0434618e+15
2018-12-26,-1.267651e+30
2018-12-27,6.1689383e+15
2018-12-28,-1.267651e+30
2018-12-29,4.38283239e+15
2018-12-30,-1.267651e+30
2018-12-31,4.61644775e+15
2019-01-01,3.94124238e+15
2019-01-02,3.41342096e+15
2019-01-03,5.56507073e+15
2019-01-04,-1.267651e+30
2019-01-05,-1.267651e+30
2019-01-06,-1.267651e+30
2019-01-07,3.22671471e+15
2019-01-08,4.27783923e+15
2019-01-09,5.46260677e+15
