Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2010-01-01T00:00:00Z
User End Date:,2020-11-30T23:59:59Z
User Bounding Box:,"-119.8389,32.2559,-115.8838,35.2881"
Data Bounding Box:,"-119.625,32.375,-116.125,35.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2010-01-01T00:00:00Z&endtime=2020-11-30T23:59:59Z&bbox=-119.8389,32.2559,-115.8838,35.2881&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2010-01-01,6.21551615e+15
2010-01-02,2.32568802e+15
2010-01-03,4.69377273e+15
2010-01-04,-1.267651e+30
2010-01-05,6.95451627e+15
2010-01-06,6.38431427e+15
2010-01-07,1.06887691e+16
2010-01-08,1.02280888e+16
2010-01-09,3.98382107e+15
2010-01-10,5.38572202e+15
2010-01-11,-1.267651e+30
2010-01-12,6.927684e+15
2010-01-13,-1.267651e+30
2010-01-14,4.68476027e+15
2010-01-15,8.28661487e+15
2010-01-16,9.31604928e+15
2010-01-17,5.80914943e+15
2010-01-18,-1.267651e+30
2010-01-19,3.45920934e+15
2010-01-20,-1.267651e+30
2010-01-21,5.13198985e+15
2010-01-22,1.71730429e+15
2010-01-23,5.05329048e+15
2010-01-24,4.72795691e+15
2010-01-25,3.4118882e+15
2010-01-26,6.28948461e+15
2010-01-27,-1.267651e+30
2010-01-28,5.49509068e+15
2010-01-29,-1.267651e+30
2010-01-30,6.95453506e+15
2010-01-31,5.51229847e+15
2010-02-01,4.54105174e+15
2010-02-02,6.77041357e+15
2010-02-03,2.29840853e+15
2010-02-04,5.49208689e+15
2010-02-05,-1.267651e+30
2010-02-06,3.59078083e+15
2010-02-07,3.01649163e+15
2010-02-08,6.01278778e+15
2010-02-09,3.57575113e+15
2010-02-10,4.0301431e+15
2010-02-11,6.55357302e+15
2010-02-12,-1.267651e+30
2010-02-13,5.78375758e+15
2010-02-14,-1.267651e+30
2010-02-15,5.57696135e+15
2010-02-16,7.39853697e+15
2010-02-17,8.00564456e+15
2010-02-18,8.5515859e+15
2010-02-19,-1.267651e+30
2010-02-20,3.90077815e+15
2010-02-21,-1.267651e+30
2010-02-22,5.1821148e+15
2010-02-23,4.18693679e+15
2010-02-24,5.7095647e+15
2010-02-25,5.06885168e+15
2010-02-26,2.47991707e+15
2010-02-27,3.36413192e+15
2010-02-28,-1.267651e+30
2010-03-01,4.88255694e+15
2010-03-02,-1.267651e+30
2010-03-03,4.64052104e+15
2010-03-04,4.44690069e+15
2010-03-05,6.59285372e+15
2010-03-06,3.05512137e+15
2010-03-07,-1.267651e+30
2010-03-08,4.29637766e+15
2010-03-09,-1.267651e+30
2010-03-10,5.61007447e+15
2010-03-11,3.39890693e+15
2010-03-12,8.1166002e+15
2010-03-13,5.62969227e+15
2010-03-14,3.94218298e+15
2010-03-15,5.63933179e+15
2010-03-16,-1.267651e+30
2010-03-17,5.88747943e+15
2010-03-18,-1.267651e+30
2010-03-19,5.88610558e+15
2010-03-20,6.25995939e+15
2010-03-21,4.9021538e+15
2010-03-22,6.60439698e+15
2010-03-23,-1.267651e+30
2010-03-24,6.47754512e+15
2010-03-25,6.77165697e+15
2010-03-26,6.29486943e+15
2010-03-27,4.675816e+15
2010-03-28,5.86948513e+15
2010-03-29,5.76904356e+15
2010-03-30,5.09304738e+15
2010-03-31,4.77883187e+15
2010-04-01,6.16177913e+15
2010-04-02,5.42169023e+15
2010-04-03,4.27283345e+15
2010-04-04,4.7369962e+15
2010-04-05,3.76483572e+15
2010-04-06,6.2757783e+15
2010-04-07,5.51334375e+15
2010-04-08,3.69190262e+15
2010-04-09,6.53737616e+15
2010-04-10,5.3733799e+15
2010-04-11,4.92843363e+15
2010-04-12,3.43342907e+15
2010-04-13,5.66665744e+15
2010-04-14,6.07444526e+15
2010-04-15,4.685113e+15
2010-04-16,5.63058348e+15
2010-04-17,5.8220558e+15
2010-04-18,5.07683442e+15
2010-04-19,4.40225531e+15
2010-04-20,5.37001533e+15
2010-04-21,4.34746119e+15
2010-04-22,-1.267651e+30
2010-04-23,5.42024067e+15
2010-04-24,-1.267651e+30
2010-04-25,5.36246961e+15
2010-04-26,7.94577003e+15
2010-04-27,6.37063265e+15
2010-04-28,3.14506604e+15
2010-04-29,6.35527009e+15
2010-04-30,6.24728172e+15
2010-05-01,5.06539477e+15
2010-05-02,3.82561569e+15
2010-05-03,5.04376102e+15
2010-05-04,4.74342577e+15
2010-05-05,4.41606927e+15
2010-05-06,5.09538814e+15
2010-05-07,5.29435411e+15
2010-05-08,5.06131241e+15
2010-05-09,4.34950882e+15
2010-05-10,3.65783735e+15
2010-05-11,5.49207239e+15
2010-05-12,7.12228682e+15
2010-05-13,6.52877334e+15
2010-05-14,4.07905634e+15
2010-05-15,5.47161815e+15
2010-05-16,4.78315529e+15
2010-05-17,5.48039223e+15
2010-05-18,4.94322067e+15
2010-05-19,5.1896879e+15
2010-05-20,5.0385974e+15
2010-05-21,4.73143368e+15
2010-05-22,5.01261284e+15
2010-05-23,4.83593507e+15
2010-05-24,6.49595443e+15
2010-05-25,6.06841405e+15
2010-05-26,-1.267651e+30
2010-05-27,4.85597324e+15
2010-05-28,6.22169821e+15
2010-05-29,5.30374452e+15
2010-05-30,4.26453665e+15
2010-05-31,5.17576362e+15
2010-06-01,5.19945734e+15
2010-06-02,4.98258243e+15
2010-06-03,5.18456079e+15
2010-06-04,6.23284634e+15
2010-06-05,4.76527588e+15
2010-06-06,4.8071706e+15
2010-06-07,5.13169672e+15
2010-06-08,5.00821909e+15
2010-06-09,5.4761896e+15
2010-06-10,5.00019609e+15
2010-06-11,4.12209701e+15
2010-06-12,5.66957641e+15
2010-06-13,5.71289491e+15
2010-06-14,5.65829031e+15
2010-06-15,3.35192831e+15
2010-06-16,5.57146218e+15
2010-06-17,5.14652939e+15
2010-06-18,4.86238455e+15
2010-06-19,4.6144173e+15
2010-06-20,4.37677864e+15
2010-06-21,5.11016766e+15
2010-06-22,5.04794647e+15
2010-06-23,5.52389219e+15
2010-06-24,4.8450302e+15
2010-06-25,6.51372807e+15
2010-06-26,5.38661645e+15
2010-06-27,-1.267651e+30
2010-06-28,6.09799242e+15
2010-06-29,5.89608332e+15
2010-06-30,5.37928387e+15
2010-07-01,3.3540527e+15
2010-07-02,5.04499314e+15
