Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2020-12-04T23:59:59Z
User Bounding Box:,"-119.5071,32.6294,-116.8924,35.3101"
Data Bounding Box:,"-119.375,32.875,-117.125,35.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2020-12-04T23:59:59Z&bbox=-119.5071,32.6294,-116.8924,35.3101&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2005-01-01,4.78827435e+15
2005-01-02,3.9368395e+15
2005-01-03,6.33681515e+15
2005-01-04,5.47423486e+15
2005-01-05,7.11287601e+15
2005-01-06,1.19833442e+16
2005-01-07,7.35271343e+15
2005-01-08,2.06485331e+15
2005-01-09,-1.267651e+30
2005-01-10,3.85694801e+15
2005-01-11,6.52910728e+15
2005-01-12,8.30487332e+15
2005-01-13,9.65166339e+15
2005-01-14,1.27349313e+16
2005-01-15,1.12274826e+16
2005-01-16,7.43447457e+15
2005-01-17,8.79559964e+15
2005-01-18,8.60574812e+15
2005-01-19,8.71712092e+15
2005-01-20,-1.267651e+30
2005-01-21,1.85882512e+16
2005-01-22,1.57666456e+16
2005-01-23,1.11175969e+16
2005-01-24,1.21745218e+16
2005-01-25,8.74783799e+15
2005-01-26,4.74723004e+15
2005-01-27,4.34087405e+15
2005-01-28,6.57465326e+15
2005-01-29,9.08690848e+15
2005-01-30,6.29149841e+15
2005-01-31,9.74947698e+15
2005-02-01,9.16245159e+15
2005-02-02,7.78513664e+15
2005-02-03,9.54339586e+15
2005-02-04,9.00375093e+15
2005-02-05,9.72678022e+15
2005-02-06,5.86041308e+15
2005-02-07,4.95456099e+15
2005-02-08,1.09452775e+16
2005-02-09,-1.267651e+30
2005-02-10,7.61582635e+15
2005-02-11,4.98806066e+15
2005-02-12,6.43540398e+15
2005-02-13,3.74468052e+15
2005-02-14,8.37424026e+15
2005-02-15,1.5830733e+16
2005-02-16,1.02765543e+16
2005-02-17,6.01289945e+15
2005-02-18,3.09955764e+15
2005-02-19,4.72502237e+15
2005-02-20,3.62849494e+15
2005-02-21,-1.267651e+30
2005-02-22,4.25958723e+15
2005-02-23,9.13723368e+15
2005-02-24,1.04823004e+16
2005-02-25,9.97429382e+15
2005-02-26,7.14617865e+15
2005-02-27,5.77738653e+15
2005-02-28,7.81874315e+15
2005-03-01,1.08765151e+16
2005-03-02,5.54173617e+15
2005-03-03,8.83267165e+15
2005-03-04,6.16163954e+15
2005-03-05,5.94421273e+15
2005-03-06,5.36593189e+15
2005-03-07,8.53982413e+15
2005-03-08,1.17378858e+16
2005-03-09,1.16848945e+16
2005-03-10,1.19933064e+16
2005-03-11,9.87183308e+15
2005-03-12,1.20071867e+16
2005-03-13,3.02433263e+15
2005-03-14,7.2646113e+15
2005-03-15,8.96509408e+15
2005-03-16,1.03655138e+16
2005-03-17,1.0052678e+16
2005-03-18,-1.267651e+30
2005-03-19,4.11217349e+15
2005-03-20,5.87818727e+15
2005-03-21,8.72255781e+15
2005-03-22,6.52528905e+15
2005-03-23,5.27092077e+15
2005-03-24,6.27153487e+15
2005-03-25,-1.267651e+30
2005-03-26,7.80547063e+15
2005-03-27,6.49826673e+15
2005-03-28,8.22739748e+15
2005-03-29,8.49614539e+15
2005-03-30,8.91820968e+15
2005-03-31,7.78340416e+15
2005-04-01,8.73255811e+15
2005-04-02,9.98523847e+15
2005-04-03,6.28812472e+15
2005-04-04,7.8284181e+15
2005-04-05,9.41669754e+15
2005-04-06,1.00553721e+16
2005-04-07,9.34104384e+15
2005-04-08,-1.267651e+30
2005-04-09,6.99725227e+15
2005-04-10,6.08382279e+15
2005-04-11,8.63042379e+15
2005-04-12,1.05144107e+16
2005-04-13,9.90465415e+15
2005-04-14,1.00688035e+16
2005-04-15,1.08952604e+16
2005-04-16,9.72155862e+15
2005-04-17,6.90193567e+15
2005-04-18,5.69556633e+15
2005-04-19,7.39157859e+15
2005-04-20,8.90887886e+15
2005-04-21,9.92125419e+15
2005-04-22,5.03716932e+15
2005-04-23,7.8451572e+15
2005-04-24,5.83793806e+15
2005-04-25,8.21359775e+15
2005-04-26,-1.267651e+30
2005-04-27,6.83109931e+15
2005-04-28,5.21527571e+15
2005-04-29,7.36489396e+15
2005-04-30,7.44545305e+15
2005-05-01,5.8946327e+15
2005-05-02,6.86992958e+15
2005-05-03,8.03822886e+15
2005-05-04,1.16336458e+16
2005-05-05,5.85899735e+15
2005-05-06,6.04506715e+15
2005-05-07,4.92002194e+15
2005-05-08,4.74968193e+15
2005-05-09,4.03819133e+15
2005-05-10,8.17706637e+15
2005-05-11,8.5054295e+15
2005-05-12,9.05922849e+15
2005-05-13,9.60932253e+15
2005-05-14,6.97025733e+15
2005-05-15,5.99709129e+15
2005-05-16,4.99943481e+15
2005-05-17,7.66623423e+15
2005-05-18,7.47725352e+15
2005-05-19,7.33129496e+15
2005-05-20,7.34301378e+15
2005-05-21,6.95350964e+15
2005-05-22,5.7548503e+15
2005-05-23,7.01419001e+15
2005-05-24,7.64198162e+15
2005-05-25,7.50494479e+15
2005-05-26,9.04509375e+15
2005-05-27,8.92662298e+15
2005-05-28,-1.267651e+30
2005-05-29,4.54201543e+15
2005-05-30,5.12408604e+15
2005-05-31,9.21583373e+15
2005-06-01,7.94296649e+15
2005-06-02,6.06592029e+15
2005-06-03,7.62394759e+15
2005-06-04,6.91655145e+15
2005-06-05,4.89495812e+15
2005-06-06,7.28297712e+15
2005-06-07,7.37924076e+15
2005-06-08,7.57161986e+15
2005-06-09,5.93791738e+15
2005-06-10,6.52985836e+15
2005-06-11,4.98274672e+15
2005-06-12,4.87407653e+15
2005-06-13,8.35106462e+15
2005-06-14,8.37528018e+15
2005-06-15,8.12356181e+15
2005-06-16,6.45573957e+15
2005-06-17,6.00613059e+15
2005-06-18,5.75897347e+15
2005-06-19,5.22643887e+15
2005-06-20,7.05514575e+15
2005-06-21,7.53051648e+15
2005-06-22,7.5244289e+15
2005-06-23,7.8565555e+15
2005-06-24,7.54805606e+15
2005-06-25,6.92917328e+15
2005-06-26,5.26448798e+15
2005-06-27,7.00021634e+15
2005-06-28,7.26079898e+15
2005-06-29,-1.267651e+30
2005-06-30,8.4979584e+15
2005-07-01,7.75751248e+15
2005-07-02,5.89674851e+15
2005-07-03,4.48662994e+15
2005-07-04,4.80912266e+15
2005-07-05,6.2122466e+15
2005-07-06,6.60545945e+15
2005-07-07,7.14889361e+15
2005-07-08,7.18481993e+15
2005-07-09,6.1759246e+15
2005-07-10,4.83513298e+15
2005-07-11,6.98215653e+15
2005-07-12,6.93390956e+15
2005-07-13,-1.267651e+30
2005-07-14,7.39981204e+15
2005-07-15,6.83814252e+15
2005-07-16,6.84199672e+15
2005-07-17,5.39090873e+15
2005-07-18,7.77137557e+15
2005-07-19,6.57633098e+15
2005-07-20,6.01843942e+15
2005-07-21,6.49591684e+15
2005-07-22,6.82835e+15
2005-07-23,5.48117284e+15
2005-07-24,4.97462171e+15
2005-07-25,6.55809777e+15
2005-07-26,6.51309671e+15
2005-07-27,6.50769848e+15
2005-07-28,6.4433298e+15
2005-07-29,6.88468816e+15
2005-07-30,5.80250404e+15
2005-07-31,-1.267651e+30
2005-08-01,7.05062583e+15
2005-08-02,7.56900261e+15
2005-08-03,7.95595823e+15
2005-08-04,7.25196423e+15
2005-08-05,6.83881146e+15
2005-08-06,5.93874255e+15
2005-08-07,5.50053026e+15
2005-08-08,5.97630311e+15
2005-08-09,7.0754647e+15
2005-08-10,6.99392099e+15
2005-08-11,6.83857846e+15
2005-08-12,6.68415721e+15
2005-08-13,5.25635922e+15
2005-08-14,5.54890716e+15
2005-08-15,7.04759519e+15
2005-08-16,6.61197921e+15
2005-08-17,7.11640164e+15
2005-08-18,6.45337841e+15
2005-08-19,7.42256409e+15
2005-08-20,5.21680794e+15
2005-08-21,4.91098479e+15
2005-08-22,6.67873535e+15
2005-08-23,6.70308996e+15
2005-08-24,6.37983354e+15
2005-08-25,6.69779588e+15
2005-08-26,6.40767513e+15
2005-08-27,5.16413285e+15
2005-08-28,5.10520697e+15
2005-08-29,6.27168841e+15
2005-08-30,6.51162837e+15
2005-08-31,6.90903579e+15
2005-09-01,-1.267651e+30
2005-09-02,7.65180153e+15
2005-09-03,5.5131682e+15
2005-09-04,5.13891817e+15
2005-09-05,5.56066731e+15
2005-09-06,7.19196193e+15
2005-09-07,8.26161011e+15
2005-09-08,7.36282808e+15
2005-09-09,7.37181422e+15
2005-09-10,5.58898994e+15
2005-09-11,4.7675608e+15
2005-09-12,7.05275291e+15
2005-09-13,6.79102351e+15
2005-09-14,7.7430567e+15
2005-09-15,9.25589397e+15
2005-09-16,7.0688628e+15
2005-09-17,6.20003386e+15
2005-09-18,5.35389846e+15
2005-09-19,6.91073767e+15
2005-09-20,4.65810302e+15
2005-09-21,7.70474505e+15
2005-09-22,8.20187463e+15
2005-09-23,8.29104513e+15
2005-09-24,5.96379778e+15
2005-09-25,5.34005202e+15
2005-09-26,9.31060541e+15
2005-09-27,7.68295776e+15
2005-09-28,6.94826065e+15
2005-09-29,7.91438617e+15
2005-09-30,8.36412239e+15
2005-10-01,6.52776886e+15
2005-10-02,4.9593021e+15
2005-10-03,-1.267651e+30
2005-10-04,8.71280287e+15
2005-10-05,7.31260488e+15
2005-10-06,9.3763678e+15
2005-10-07,9.300538e+15
2005-10-08,6.48192116e+15
2005-10-09,5.17133282e+15
2005-10-10,7.22204817e+15
2005-10-11,9.3641615e+15
2005-10-12,9.40937999e+15
2005-10-13,9.58731404e+15
2005-10-14,1.01233174e+16
2005-10-15,7.76021241e+15
2005-10-16,4.43968192e+15
2005-10-17,6.6126664e+15
2005-10-18,6.56871225e+15
2005-10-19,8.70810203e+15
2005-10-20,1.09564229e+16
2005-10-21,1.40521838e+16
2005-10-22,9.22576477e+15
2005-10-23,6.98749196e+15
2005-10-24,8.69193899e+15
2005-10-25,4.60620586e+15
2005-10-26,9.41372757e+15
2005-10-27,6.22261787e+15
2005-10-28,8.16602615e+15
2005-10-29,8.25422169e+15
2005-10-30,6.19198187e+15
2005-10-31,7.3924408e+15
2005-11-01,1.12078127e+16
2005-11-02,1.05525822e+16
2005-11-03,9.69312379e+15
2005-11-04,-1.267651e+30
2005-11-05,1.04926395e+16
2005-11-06,5.78887664e+15
2005-11-07,1.8447677e+16
2005-11-08,1.24336651e+16
2005-11-09,5.16978986e+15
2005-11-10,1.009371e+16
2005-11-11,6.22523727e+15
2005-11-12,9.58883446e+15
2005-11-13,8.70169125e+15
2005-11-14,1.16936369e+16
2005-11-15,1.14418552e+16
2005-11-16,1.12914304e+16
2005-11-17,1.18623808e+16
2005-11-18,1.0414587e+16
2005-11-19,1.0372986e+16
2005-11-20,8.35675169e+15
2005-11-21,1.02970756e+16
2005-11-22,1.26824489e+16
2005-11-23,1.8513085e+16
2005-11-24,1.41620448e+16
2005-11-25,1.16453571e+16
2005-11-26,6.67704743e+15
2005-11-27,5.5789526e+15
2005-11-28,1.05344005e+16
2005-11-29,1.25120934e+16
2005-11-30,1.32189108e+16
2005-12-01,1.25873691e+16
2005-12-02,7.56662427e+15
2005-12-03,1.00146461e+16
2005-12-04,6.4917765e+15
2005-12-05,9.82195026e+15
2005-12-06,-1.267651e+30
2005-12-07,1.57781325e+16
2005-12-08,7.58378213e+15
2005-12-09,9.08084399e+15
2005-12-10,7.15303879e+15
2005-12-11,9.27440313e+15
2005-12-12,1.23619359e+16
2005-12-13,1.07706097e+16
2005-12-14,1.73102311e+16
2005-12-15,1.44631241e+16
2005-12-16,1.4144619e+16
2005-12-17,6.93830868e+15
2005-12-18,4.08634302e+15
2005-12-19,7.46580367e+15
2005-12-20,6.44527811e+15
2005-12-21,1.23570483e+16
2005-12-22,1.76731591e+16
2005-12-23,1.63759479e+16
2005-12-24,8.80257144e+15
2005-12-25,1.03756027e+16
2005-12-26,4.11008882e+15
2005-12-27,8.19074423e+15
2005-12-28,1.02095313e+16
2005-12-29,1.5012662e+16
2005-12-30,1.20308519e+16
2005-12-31,4.40487819e+15
2006-01-01,-1.267651e+30
2006-01-02,3.80636967e+15
2006-01-03,8.35692027e+15
2006-01-04,1.03744409e+16
2006-01-05,7.59103633e+15
2006-01-06,7.56473717e+15
2006-01-07,-1.267651e+30
2006-01-08,8.91559351e+15
2006-01-09,9.20434362e+15
2006-01-10,1.13175652e+16
2006-01-11,1.41030362e+16
2006-01-12,1.40926338e+16
2006-01-13,1.11304936e+16
2006-01-14,4.043574e+15
2006-01-15,5.77747995e+15
2006-01-16,7.92291329e+15
2006-01-17,1.36584298e+16
2006-01-18,9.68310577e+15
2006-01-19,8.10805322e+15
2006-01-20,1.08406285e+16
2006-01-21,8.95651757e+15
2006-01-22,1.04276781e+16
2006-01-23,8.10428385e+15
2006-01-24,9.0963864e+15
2006-01-25,9.35762349e+15
2006-01-26,1.05238306e+16
2006-01-27,9.25886394e+15
2006-01-28,1.21035174e+16
2006-01-29,7.24550514e+15
2006-01-30,1.00184192e+16
2006-01-31,1.0622603e+16
2006-02-01,1.08874318e+16
2006-02-02,1.12396921e+16
2006-02-03,1.17134979e+16
2006-02-04,1.14662516e+16
2006-02-05,8.73293875e+15
2006-02-06,8.46263069e+15
2006-02-07,1.02041293e+16
2006-02-08,-1.267651e+30
2006-02-09,1.12230996e+16
2006-02-10,9.87965422e+15
2006-02-11,1.20149702e+16
2006-02-12,5.99667521e+15
2006-02-13,1.04164521e+16
2006-02-14,1.28452121e+16
2006-02-15,6.63585976e+15
2006-02-16,1.17094509e+16
2006-02-17,9.48156229e+15
2006-02-18,6.41476129e+15
2006-02-19,4.97351683e+15
2006-02-20,9.27290526e+15
2006-02-21,1.17276756e+16
2006-02-22,-1.267651e+30
2006-02-23,1.21695525e+16
2006-02-24,1.16614311e+16
2006-02-25,1.12680829e+16
2006-02-26,1.08750902e+16
2006-02-27,-1.267651e+30
2006-02-28,-1.267651e+30
2006-03-03,3.40868737e+15
2006-03-04,6.67154074e+15
2006-03-05,6.4404366e+15
2006-03-06,7.49768575e+15
2006-03-07,5.05558882e+15
2006-03-08,8.01889829e+15
2006-03-09,6.03371984e+15
2006-03-10,4.28261094e+15
2006-03-11,4.47989436e+15
2006-03-12,3.60283761e+15
2006-03-13,7.87394368e+15
2006-03-14,9.34174929e+15
2006-03-15,7.36606433e+15
2006-03-16,9.24971136e+15
2006-03-17,7.39177079e+15
2006-03-18,4.85516954e+15
2006-03-19,5.05901567e+15
2006-03-20,5.15160336e+15
2006-03-21,6.76287161e+15
2006-03-22,7.87308898e+15
2006-03-23,9.42127168e+15
2006-03-24,1.08682301e+16
2006-03-25,8.42902794e+15
2006-03-26,5.05796931e+15
2006-03-27,9.01403577e+15
2006-03-28,3.86001193e+15
2006-03-29,6.26403532e+15
2006-03-30,7.4876409e+15
2006-03-31,3.7686467e+15
2006-04-01,5.0005209e+15
2006-04-02,5.55839206e+15
2006-04-03,-1.267651e+30
2006-04-04,4.95483909e+15
2006-04-05,5.09971371e+15
2006-04-06,7.47072034e+15
2006-04-07,8.55690951e+15
2006-04-08,6.13204668e+15
2006-04-09,5.47834729e+15
2006-04-10,5.23701039e+15
2006-04-11,5.5539473e+15
2006-04-12,7.52391136e+15
2006-04-13,7.60644292e+15
2006-04-14,3.51059916e+15
2006-04-15,4.68442741e+15
2006-04-16,3.95994616e+15
2006-04-17,6.43418635e+15
2006-04-18,7.09512115e+15
2006-04-19,8.74601048e+15
2006-04-20,8.3310549e+15
2006-04-21,7.99737245e+15
2006-04-22,5.15359031e+15
2006-04-23,4.58341784e+15
2006-04-24,7.25330963e+15
2006-04-25,9.88776633e+15
2006-04-26,6.0048786e+15
2006-04-27,6.45982999e+15
2006-04-28,4.75495346e+15
2006-04-29,6.57091019e+15
2006-04-30,5.65971141e+15
2006-05-01,8.13485328e+15
2006-05-02,9.91787835e+15
2006-05-03,6.03075632e+15
2006-05-04,6.12462659e+15
2006-05-05,6.40921541e+15
2006-05-06,6.53117853e+15
2006-05-07,5.64538769e+15
2006-05-08,8.27855322e+15
2006-05-09,8.51533423e+15
2006-05-10,9.36597505e+15
2006-05-11,9.66617609e+15
2006-05-12,7.90776494e+15
2006-05-13,5.47553033e+15
2006-05-14,5.08506948e+15
2006-05-15,8.80813772e+15
2006-05-16,8.1065532e+15
2006-05-17,1.16997164e+16
2006-05-18,9.753365e+15
2006-05-19,7.67836375e+15
2006-05-20,5.67813199e+15
2006-05-21,5.57707302e+15
2006-05-22,6.06396071e+15
2006-05-23,7.7859194e+15
2006-05-24,8.20231648e+15
2006-05-25,8.04074035e+15
2006-05-26,5.648399e+15
2006-05-27,4.85676405e+15
2006-05-28,5.37094895e+15
2006-05-29,6.25815282e+15
2006-05-30,7.77781587e+15
2006-05-31,8.73373493e+15
2006-06-01,9.11928287e+15
2006-06-02,7.43002015e+15
2006-06-03,6.14057219e+15
2006-06-04,5.06922642e+15
2006-06-05,6.89041227e+15
2006-06-06,6.78938176e+15
2006-06-07,8.99234028e+15
2006-06-08,8.583461e+15
2006-06-09,7.63149278e+15
2006-06-10,5.93833453e+15
2006-06-11,5.07904096e+15
2006-06-12,6.54440166e+15
2006-06-13,6.53486253e+15
2006-06-14,7.42073282e+15
2006-06-15,6.98666518e+15
2006-06-16,-1.267651e+30
2006-06-17,5.38070604e+15
2006-06-18,4.74104797e+15
2006-06-19,6.81900469e+15
2006-06-20,7.09707322e+15
2006-06-21,7.6145502e+15
2006-06-22,6.78932915e+15
2006-06-23,7.35416674e+15
2006-06-24,6.91288032e+15
2006-06-25,5.35611681e+15
2006-06-26,5.39339337e+15
2006-06-27,5.40164776e+15
2006-06-28,7.41620808e+15
2006-06-29,6.60479427e+15
2006-06-30,6.87073542e+15
2006-07-01,5.54571653e+15
2006-07-02,5.18612469e+15
2006-07-03,5.85841109e+15
2006-07-04,4.60809511e+15
2006-07-05,6.14085297e+15
2006-07-06,5.77801521e+15
2006-07-07,6.2589388e+15
2006-07-08,5.39230782e+15
2006-07-09,5.20134981e+15
2006-07-10,-1.267651e+30
2006-07-11,6.01404084e+15
2006-07-12,6.54653572e+15
2006-07-13,6.26814399e+15
2006-07-14,6.57596269e+15
2006-07-15,5.37603097e+15
2006-07-16,5.43441621e+15
2006-07-17,5.78361853e+15
2006-07-18,-1.267651e+30
2006-07-19,7.10193243e+15
2006-07-20,7.16602731e+15
2006-07-21,7.07181773e+15
2006-07-22,5.8080075e+15
2006-07-23,5.59488693e+15
2006-07-24,5.89240898e+15
2006-07-25,6.77915329e+15
2006-07-26,6.96082558e+15
2006-07-27,6.13554493e+15
2006-07-28,5.95701656e+15
2006-07-29,4.34975524e+15
2006-07-30,4.06210195e+15
2006-07-31,4.58462365e+15
2006-08-01,5.92946918e+15
2006-08-02,6.62601838e+15
2006-08-03,6.11143406e+15
2006-08-04,5.92990458e+15
2006-08-05,4.81879224e+15
2006-08-06,4.36850492e+15
2006-08-07,5.6546004e+15
2006-08-08,5.76616754e+15
2006-08-09,6.13285843e+15
2006-08-10,5.58156287e+15
2006-08-11,6.90598797e+15
2006-08-12,5.03787047e+15
2006-08-13,4.81569718e+15
2006-08-14,5.95364984e+15
2006-08-15,6.42088162e+15
2006-08-16,6.2228133e+15
2006-08-17,6.054646e+15
2006-08-18,6.01817045e+15
2006-08-19,-1.267651e+30
2006-08-20,4.73770541e+15
2006-08-21,5.99530512e+15
2006-08-22,6.61769259e+15
2006-08-23,5.53283915e+15
2006-08-24,5.37722282e+15
2006-08-25,6.1664993e+15
2006-08-26,4.66232014e+15
2006-08-27,4.54885892e+15
2006-08-28,6.65077457e+15
2006-08-29,7.07881263e+15
2006-08-30,5.99933326e+15
2006-08-31,6.13728224e+15
2006-09-01,6.30621727e+15
2006-09-02,6.04401059e+15
2006-09-03,4.81163039e+15
2006-09-04,5.53316342e+15
2006-09-05,6.93661753e+15
2006-09-06,7.50500008e+15
2006-09-07,8.71840458e+15
2006-09-08,6.45593231e+15
2006-09-09,4.74779268e+15
2006-09-10,4.82128064e+15
2006-09-11,6.96831922e+15
2006-09-12,9.61623635e+15
2006-09-13,8.56771458e+15
2006-09-14,6.15434239e+15
2006-09-15,5.80976898e+15
2006-09-16,5.79937032e+15
2006-09-17,6.62254483e+15
2006-09-18,8.53374031e+15
2006-09-19,9.29913033e+15
2006-09-20,-1.267651e+30
2006-09-21,8.0936436e+15
2006-09-22,-1.267651e+30
2006-09-23,5.72513342e+15
2006-09-24,5.2986421e+15
2006-09-25,6.76125724e+15
2006-09-26,8.92704496e+15
2006-09-27,6.79490187e+15
2006-09-28,7.78481774e+15
2006-09-29,7.88670403e+15
2006-09-30,6.83237707e+15
2006-10-01,5.700534e+15
2006-10-02,6.44363152e+15
2006-10-03,7.32632354e+15
2006-10-04,7.7080248e+15
2006-10-05,7.22419405e+15
2006-10-06,7.1888207e+15
2006-10-07,7.11964434e+15
2006-10-08,6.41377667e+15
2006-10-09,6.44003395e+15
2006-10-10,7.0140864e+15
2006-10-11,8.21335562e+15
2006-10-12,8.72990382e+15
2006-10-13,6.40058682e+15
2006-10-14,4.97137525e+15
2006-10-15,3.92391675e+15
2006-10-16,5.14193216e+15
2006-10-17,7.34234699e+15
2006-10-18,7.1010525e+15
2006-10-19,8.98716108e+15
2006-10-20,8.67727114e+15
2006-10-21,8.64246204e+15
2006-10-22,-1.267651e+30
2006-10-23,9.40323926e+15
2006-10-24,1.01202239e+16
2006-10-25,1.08041771e+16
2006-10-26,9.59710979e+15
2006-10-27,8.93653631e+15
2006-10-28,9.17727889e+15
2006-10-29,7.54937032e+15
2006-10-30,9.26302147e+15
2006-10-31,7.11173087e+15
2006-11-01,1.06840844e+16
2006-11-02,1.05198084e+16
2006-11-03,7.07658622e+15
2006-11-04,9.20266859e+15
2006-11-05,7.40011591e+15
2006-11-06,9.0892385e+15
2006-11-07,1.03199678e+16
2006-11-08,1.20101846e+16
2006-11-09,9.85635617e+15
2006-11-10,9.91995282e+15
2006-11-11,7.2855192e+15
2006-11-12,5.84970465e+15
2006-11-13,9.60128987e+15
2006-11-14,8.74928003e+15
2006-11-15,8.74487178e+15
2006-11-16,1.00776748e+16
2006-11-17,1.40647477e+16
2006-11-18,1.31291986e+16
2006-11-19,8.05980141e+15
2006-11-20,9.26068286e+15
2006-11-21,1.13008793e+16
2006-11-22,1.13536902e+16
2006-11-23,-1.267651e+30
2006-11-24,8.27446602e+15
2006-11-25,7.08706326e+15
2006-11-26,6.34905903e+15
2006-11-27,6.93637272e+15
2006-11-28,7.7147432e+15
2006-11-29,8.50140297e+15
2006-11-30,9.82603262e+15
2006-12-01,9.73322482e+15
2006-12-02,8.94231626e+15
2006-12-03,5.99107082e+15
2006-12-04,9.06560974e+15
2006-12-05,1.03579085e+16
2006-12-06,1.55161417e+16
2006-12-07,1.46049944e+16
2006-12-08,1.38105704e+16
2006-12-09,4.56708622e+15
2006-12-10,4.95705959e+15
2006-12-11,8.3548254e+15
2006-12-12,1.11228658e+16
2006-12-13,1.26432745e+16
2006-12-14,1.1167891e+16
2006-12-15,2.06964402e+16
