Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2019-01-01T00:00:00Z
User End Date:,2020-12-04T23:59:59Z
User Bounding Box:,"143.1299,-39.8145,147.6123,-35.9912"
Data Bounding Box:,"143.375,-39.625,147.375,-36.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2019-01-01T00:00:00Z&endtime=2020-12-04T23:59:59Z&bbox=143.1299,-39.8145,147.6123,-35.9912&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2019-01-01,4.19794855e+15
2019-01-02,3.67888457e+15
2019-01-03,3.96009031e+15
2019-01-04,4.05106469e+15
2019-01-05,4.01863984e+15
2019-01-06,3.24037351e+15
2019-01-07,3.96827517e+15
2019-01-08,3.30050305e+15
2019-01-09,3.74756512e+15
2019-01-10,3.05362108e+15
2019-01-11,3.96934006e+15
2019-01-12,3.49165191e+15
2019-01-13,-1.267651e+30
2019-01-14,3.99242255e+15
2019-01-15,3.05212107e+15
2019-01-16,4.09891815e+15
2019-01-17,3.22296118e+15
2019-01-18,4.04537359e+15
2019-01-19,2.93230785e+15
2019-01-20,3.81507798e+15
2019-01-21,3.92784074e+15
2019-01-22,3.05354297e+15
2019-01-23,3.73824263e+15
2019-01-24,3.39120632e+15
2019-01-25,4.27775575e+15
2019-01-26,3.49900946e+15
2019-01-27,3.56913769e+15
2019-01-28,-1.267651e+30
2019-01-29,-1.267651e+30
2019-01-30,3.98862473e+15
2019-01-31,2.67610661e+15
2019-02-01,4.29428198e+15
2019-02-02,3.86267052e+15
2019-02-03,4.23162431e+15
2019-02-04,3.64913118e+15
2019-02-05,4.76739222e+15
2019-02-06,4.75755621e+15
2019-02-07,2.9505773e+15
2019-02-08,4.0757476e+15
2019-02-09,3.95068997e+15
2019-02-10,4.36381347e+15
2019-02-11,3.87212481e+15
2019-02-12,2.76235117e+15
2019-02-13,4.06627666e+15
2019-02-14,-1.267651e+30
2019-02-15,4.23597109e+15
2019-02-16,3.48350919e+15
2019-02-17,4.14512287e+15
2019-02-18,4.30543386e+15
2019-02-19,3.64813073e+15
2019-02-20,3.63645539e+15
2019-02-21,3.6810232e+15
2019-02-22,3.65602998e+15
2019-02-23,2.18393074e+15
2019-02-24,3.78168327e+15
2019-02-25,3.82108691e+15
2019-02-26,3.98492434e+15
2019-02-27,3.7644328e+15
2019-02-28,3.88350728e+15
2019-03-01,-1.267651e+30
2019-03-02,-1.267651e+30
2019-03-03,6.33418019e+15
2019-03-04,3.42762523e+15
2019-03-05,4.62006572e+15
2019-03-06,3.19611011e+15
2019-03-07,4.33421981e+15
2019-03-08,4.84851986e+15
2019-03-09,4.49897502e+15
2019-03-10,3.96737994e+15
2019-03-11,3.1336127e+15
2019-03-12,3.24256019e+15
2019-03-13,3.36729409e+15
2019-03-14,4.09460385e+15
2019-03-15,3.35432651e+15
2019-03-16,4.34090546e+15
2019-03-17,4.30202634e+15
2019-03-18,-1.267651e+30
2019-03-19,4.08207838e+15
2019-03-20,3.3250496e+15
2019-03-21,4.02251121e+15
2019-03-22,3.61081041e+15
2019-03-23,4.31130267e+15
2019-03-24,3.70663435e+15
2019-03-25,3.93788291e+15
2019-03-26,3.68007669e+15
2019-03-27,2.81169792e+15
2019-03-28,3.86805641e+15
2019-03-29,2.89424559e+15
2019-03-30,3.06941126e+15
2019-03-31,2.48482461e+15
2019-04-01,4.04401048e+15
2019-04-02,-1.267651e+30
2019-04-03,-1.267651e+30
2019-04-04,4.24902e+15
2019-04-05,3.94134331e+15
2019-04-06,3.41659548e+15
2019-04-07,2.86865026e+15
2019-04-08,3.26048657e+15
2019-04-09,3.55433132e+15
2019-04-10,4.31822535e+15
2019-04-11,4.01756744e+15
2019-04-12,2.37066169e+15
2019-04-13,3.61698067e+15
2019-04-14,3.64189953e+15
2019-04-15,3.73743598e+15
2019-04-16,3.33209576e+15
2019-04-17,4.00597693e+15
2019-04-18,3.93899316e+15
2019-04-19,-1.267651e+30
2019-04-20,3.22080859e+15
2019-04-21,2.56271196e+15
2019-04-22,3.3051086e+15
2019-04-23,4.07462393e+15
2019-04-24,4.15776242e+15
2019-04-25,3.8881939e+15
2019-04-26,3.19041633e+15
2019-04-27,3.98726752e+15
2019-04-28,2.92975127e+15
2019-04-29,3.74966885e+15
2019-04-30,3.72088022e+15
2019-05-01,3.81145437e+15
2019-05-02,2.65869267e+15
2019-05-03,4.61421383e+15
2019-05-04,-1.267651e+30
2019-05-05,-1.267651e+30
2019-05-06,3.06805808e+15
2019-05-07,3.30597189e+15
2019-05-08,3.13135248e+15
2019-05-09,3.83262749e+15
2019-05-10,3.5793377e+15
2019-05-11,2.36230879e+15
2019-05-12,4.2558898e+15
2019-05-13,4.50183923e+15
2019-05-14,2.00096567e+15
2019-05-15,3.2890167e+15
2019-05-16,4.42718786e+15
2019-05-17,4.25091167e+15
2019-05-18,3.77552295e+15
2019-05-19,6.38226127e+15
2019-05-20,3.75411844e+15
2019-05-21,-1.267651e+30
2019-05-22,3.62422198e+15
2019-05-23,3.04913204e+15
2019-05-24,2.62106849e+15
2019-05-25,2.91537414e+15
2019-05-26,3.45596423e+15
2019-05-27,2.43882094e+15
2019-05-28,4.61341818e+15
2019-05-29,3.35167544e+15
2019-05-30,-1.267651e+30
2019-05-31,2.88020399e+15
2019-06-01,3.11054094e+15
2019-06-02,2.7694537e+15
2019-06-03,3.35727312e+15
2019-06-04,4.32085092e+15
2019-06-05,-1.267651e+30
2019-06-06,-1.267651e+30
2019-06-07,3.78255139e+15
2019-06-08,3.09997613e+15
2019-06-09,3.5048839e+15
2019-06-10,3.03635451e+15
2019-06-11,3.6739816e+15
2019-06-12,2.0664807e+15
2019-06-13,5.32181022e+15
2019-06-14,3.81111346e+15
2019-06-15,2.78827317e+15
2019-06-16,4.11543954e+15
2019-06-17,3.73182997e+15
2019-06-18,2.53977334e+15
2019-06-19,3.40323169e+15
2019-06-20,4.82004208e+15
2019-06-21,2.8220751e+15
2019-06-22,-1.267651e+30
2019-06-23,2.94625334e+15
2019-06-24,4.35932953e+15
2019-06-25,3.54786552e+15
2019-06-26,3.08105331e+15
2019-06-27,4.39793404e+15
2019-06-28,3.09862751e+15
2019-06-29,4.11926206e+15
2019-06-30,3.7144826e+15
2019-07-01,-1.267651e+30
2019-07-02,3.08620244e+15
2019-07-03,2.70121365e+15
2019-07-04,3.67047986e+15
2019-07-05,3.26437567e+15
2019-07-06,4.79540776e+15
2019-07-07,-1.267651e+30
2019-07-08,-1.267651e+30
2019-07-09,2.92200127e+15
2019-07-10,3.2584062e+15
2019-07-11,2.55956777e+15
2019-07-12,3.19029553e+15
2019-07-13,3.96764918e+15
2019-07-14,3.49256701e+15
2019-07-15,4.72524678e+15
2019-07-16,2.87529002e+15
2019-07-17,-1.267651e+30
2019-07-18,2.59020109e+15
2019-07-19,3.17574579e+15
2019-07-20,2.9706756e+15
2019-07-21,3.34330911e+15
2019-07-22,4.38158739e+15
2019-07-23,4.64457602e+15
2019-07-24,-1.267651e+30
2019-07-25,2.95112169e+15
2019-07-26,2.14031078e+15
2019-07-27,-1.267651e+30
2019-07-28,3.92812582e+15
2019-07-29,2.89606907e+15
2019-07-30,2.90915717e+15
2019-07-31,3.25440034e+15
2019-08-01,2.85066267e+15
2019-08-02,-1.267651e+30
2019-08-03,3.4497784e+15
2019-08-04,2.5038038e+15
2019-08-05,3.15138796e+15
2019-08-06,3.04501907e+15
2019-08-07,4.62782028e+15
2019-08-08,-1.267651e+30
2019-08-09,-1.267651e+30
2019-08-10,2.44647941e+15
2019-08-11,2.47020024e+15
2019-08-12,2.79537597e+15
2019-08-13,2.53610759e+15
2019-08-14,3.24317302e+15
2019-08-15,2.7849886e+15
2019-08-16,5.34468093e+15
2019-08-17,3.58495471e+15
2019-08-18,2.63812085e+15
2019-08-19,3.62330259e+15
2019-08-20,3.0112158e+15
2019-08-21,3.21854944e+15
2019-08-22,3.16796009e+15
2019-08-23,3.24638459e+15
2019-08-24,2.83609656e+15
2019-08-25,-1.267651e+30
2019-08-26,3.78858045e+15
2019-08-27,2.7842461e+15
2019-08-28,2.90792506e+15
2019-08-29,3.36659642e+15
2019-08-30,3.35601873e+15
2019-08-31,2.9422609e+15
2019-09-01,3.01695495e+15
2019-09-02,2.83663907e+15
2019-09-03,2.47499101e+15
2019-09-04,4.45692675e+15
2019-09-05,3.49716236e+15
2019-09-06,4.58067926e+15
2019-09-07,2.66068043e+15
2019-09-08,3.74799892e+15
2019-09-09,-1.267651e+30
2019-09-10,-1.267651e+30
2019-09-11,3.16728444e+15
2019-09-12,2.65694596e+15
2019-09-13,3.02098685e+15
2019-09-14,2.66067238e+15
2019-09-15,2.46576166e+15
2019-09-16,3.17544434e+15
2019-09-17,2.61560394e+15
2019-09-18,3.85616794e+15
2019-09-19,3.57118397e+15
2019-09-20,3.65239831e+15
2019-09-21,3.04761967e+15
2019-09-22,3.43348222e+15
2019-09-23,3.57966412e+15
2019-09-24,4.02833841e+15
2019-09-25,3.21537922e+15
2019-09-26,-1.267651e+30
2019-09-27,3.22357992e+15
2019-09-28,3.05308878e+15
2019-09-29,3.31666662e+15
2019-09-30,2.97372718e+15
2019-10-01,3.48852974e+15
2019-10-02,3.32727707e+15
2019-10-03,3.32602912e+15
2019-10-04,3.38578043e+15
2019-10-05,2.69117873e+15
2019-10-06,3.44976498e+15
2019-10-07,3.07767344e+15
2019-10-08,3.71156095e+15
2019-10-09,2.92075198e+15
2019-10-10,3.53874945e+15
2019-10-11,-1.267651e+30
2019-10-12,-1.267651e+30
2019-10-13,3.7507587e+15
2019-10-14,3.31436721e+15
2019-10-15,3.72550483e+15
2019-10-16,3.42192688e+15
2019-10-17,3.16432172e+15
2019-10-18,4.06226489e+15
2019-10-19,-2.33002647e+15
2019-10-20,3.36653119e+15
2019-10-21,2.43981764e+15
2019-10-22,4.00839715e+15
2019-10-23,3.94581518e+15
2019-10-24,4.26987046e+15
2019-10-25,4.34564791e+15
2019-10-26,3.46980852e+15
2019-10-27,3.73967876e+15
2019-10-28,-1.267651e+30
2019-10-29,4.00463529e+15
2019-10-30,3.32845899e+15
2019-10-31,3.91224867e+15
2019-11-01,4.05382582e+15
2019-11-02,-1.267651e+30
2019-11-03,3.81638419e+15
2019-11-04,4.15008087e+15
2019-11-05,3.83918295e+15
2019-11-06,3.71000295e+15
2019-11-07,5.20037915e+15
2019-11-08,3.68434508e+15
2019-11-09,4.63741202e+15
2019-11-10,3.64975959e+15
2019-11-11,4.04995793e+15
2019-11-12,-1.267651e+30
2019-11-13,5.29788081e+15
2019-11-14,3.84162625e+15
2019-11-15,3.59182156e+15
2019-11-16,4.0219628e+15
2019-11-17,3.20419432e+15
2019-11-18,3.71845303e+15
2019-11-19,3.67267432e+15
2019-11-20,3.3590244e+15
2019-11-21,5.56019594e+15
2019-11-22,3.43857363e+15
2019-11-23,3.82816851e+15
2019-11-24,3.09077711e+15
2019-11-25,4.58537956e+15
2019-11-26,3.8572049e+15
2019-11-27,4.1757543e+15
2019-11-28,3.98677306e+15
2019-11-29,4.60784707e+15
2019-11-30,4.14176635e+15
2019-12-01,-1.267651e+30
2019-12-02,3.86339127e+15
2019-12-03,3.34170172e+15
2019-12-04,3.9320592e+15
2019-12-05,3.93171399e+15
2019-12-06,1.32152171e+15
2019-12-07,3.7894075e+15
2019-12-08,2.72591052e+15
2019-12-09,4.23045232e+15
2019-12-10,3.21020351e+15
2019-12-11,3.76289118e+15
2019-12-12,3.79182691e+15
2019-12-13,4.68956097e+15
2019-12-14,3.92473387e+15
2019-12-15,-1.267651e+30
2019-12-16,3.90713121e+15
2019-12-17,3.77947324e+15
2019-12-18,4.50707748e+15
2019-12-19,3.54551054e+15
2019-12-20,4.54638985e+15
2019-12-21,3.7026395e+15
2019-12-22,3.46297093e+15
2019-12-23,4.2618786e+15
2019-12-24,3.49176466e+15
2019-12-25,4.18687854e+15
2019-12-26,3.83334555e+15
2019-12-27,4.66730714e+15
2019-12-28,4.08909797e+15
2019-12-29,3.57014593e+15
2019-12-30,4.07594275e+15
2019-12-31,-1.267651e+30
2020-01-01,4.15150465e+15
2020-01-02,3.50574478e+15
2020-01-03,4.6423217e+15
2020-01-04,6.31995418e+15
2020-01-05,-1.94676587e+15
2020-01-06,3.82466703e+15
2020-01-07,4.58626808e+15
2020-01-08,3.93794089e+15
2020-01-09,3.33084592e+15
2020-01-10,5.75946739e+15
2020-01-11,3.61788637e+15
2020-01-12,4.36509096e+15
2020-01-13,5.31142499e+15
2020-01-14,4.87045909e+15
2020-01-15,4.50038914e+15
2020-01-16,-1.267651e+30
2020-01-17,4.55841468e+15
2020-01-18,4.14833845e+15
2020-01-19,4.26051092e+15
2020-01-20,4.36832614e+15
2020-01-21,4.36077398e+15
2020-01-22,3.63366367e+15
2020-01-23,4.22777817e+15
2020-01-24,3.88678917e+15
2020-01-25,3.09081604e+15
2020-01-26,3.91488443e+15
2020-01-27,3.43213897e+15
2020-01-28,4.17075201e+15
2020-01-29,4.07868563e+15
2020-01-30,3.42010179e+15
2020-01-31,4.18037972e+15
2020-02-01,-1.267651e+30
2020-02-02,4.04237597e+15
2020-02-03,3.43049158e+15
2020-02-04,4.17837987e+15
2020-02-05,3.98716578e+15
2020-02-06,4.03427969e+15
2020-02-07,5.51133371e+15
2020-02-08,3.77956129e+15
2020-02-09,3.54841528e+15
2020-02-10,2.17959027e+15
2020-02-11,4.64629723e+15
2020-02-12,3.61846619e+15
2020-02-13,4.77154868e+15
2020-02-14,3.24549848e+15
2020-02-15,5.86840763e+15
2020-02-16,4.38028441e+15
2020-02-17,-1.267651e+30
2020-02-18,3.99323457e+15
2020-02-19,3.13591749e+15
2020-02-20,3.67172298e+15
2020-02-21,3.94928846e+15
2020-02-22,3.80617425e+15
2020-02-23,3.96783789e+15
2020-02-24,1.79899363e+15
2020-02-25,4.22498215e+15
2020-02-26,2.86272777e+15
2020-02-27,3.54048891e+15
2020-02-28,3.12737077e+15
2020-02-29,4.04127405e+15
2020-03-01,3.979226e+15
2020-03-02,3.501034e+15
2020-03-03,4.1262838e+15
2020-03-04,-1.267651e+30
2020-03-05,-1.267651e+30
2020-03-06,3.21724565e+15
2020-03-07,3.94217653e+15
2020-03-08,3.89707643e+15
2020-03-09,3.88500945e+15
2020-03-10,4.354444e+15
2020-03-11,9.28592263e+14
2020-03-12,3.85944929e+15
2020-03-13,-1.267651e+30
2020-03-14,3.51263417e+15
2020-03-15,3.36163144e+15
2020-03-16,3.85987315e+15
2020-03-17,3.2204956e+15
2020-03-18,3.91702762e+15
2020-03-19,4.06015607e+15
2020-03-20,-1.267651e+30
2020-03-21,3.38047212e+15
2020-03-22,2.81665056e+15
2020-03-23,3.5881048e+15
2020-03-24,4.13403058e+15
2020-03-25,3.91778542e+15
2020-03-26,3.38461838e+15
2020-03-27,1.58792108e+15
2020-03-28,3.69597935e+15
2020-03-29,2.9088874e+15
2020-03-30,3.56230788e+15
2020-03-31,3.61189677e+15
2020-04-01,4.34228066e+15
2020-04-02,4.84633319e+15
2020-04-03,3.59966631e+15
2020-04-04,2.97610471e+15
2020-04-05,-1.267651e+30
2020-04-06,3.06607864e+15
2020-04-07,3.13651664e+15
2020-04-08,3.48150774e+15
2020-04-09,3.78269957e+15
2020-04-10,3.80567576e+15
2020-04-11,3.42867696e+15
2020-04-12,4.6502529e+15
2020-04-13,3.92897568e+15
2020-04-14,-1.267651e+30
2020-04-15,4.50607729e+15
2020-04-16,3.07601424e+15
2020-04-17,3.69272886e+15
2020-04-18,3.42057235e+15
2020-04-19,2.98124927e+15
2020-04-20,3.67411286e+15
2020-04-21,-1.267651e+30
2020-04-22,3.41514539e+15
2020-04-23,-1.267651e+30
2020-04-24,3.68316773e+15
2020-04-25,3.3065858e+15
2020-04-26,2.3554406e+15
2020-04-27,2.67248327e+15
2020-04-28,7.16464768e+14
2020-04-29,-1.267651e+30
2020-04-30,1.58198248e+15
2020-05-01,2.66559522e+15
2020-05-02,3.26467578e+15
2020-05-03,3.07929559e+15
2020-05-04,2.24603731e+15
2020-05-05,3.20319574e+15
2020-05-06,3.74922459e+15
2020-05-07,-1.267651e+30
2020-05-08,3.50474378e+15
2020-05-09,2.1213226e+15
2020-05-10,2.70814814e+15
2020-05-11,3.51470971e+15
2020-05-12,4.11436661e+15
2020-05-13,2.82732731e+15
2020-05-14,4.59662486e+15
2020-05-15,3.97169101e+15
2020-05-16,2.43570494e+15
2020-05-17,3.0813859e+15
2020-05-18,2.93159006e+15
2020-05-19,3.40998821e+15
2020-05-20,2.32526416e+15
2020-05-21,3.93650288e+15
2020-05-22,3.41813576e+15
2020-05-23,-1.267651e+30
2020-05-24,2.93570249e+15
2020-05-25,2.35740474e+15
2020-05-26,3.34866923e+15
2020-05-27,3.61885864e+15
2020-05-28,3.17509645e+15
2020-05-29,3.11936576e+15
2020-05-30,5.33190608e+15
2020-05-31,2.8730612e+15
2020-06-01,-1.267651e+30
2020-06-02,3.46501828e+15
2020-06-03,3.63084912e+15
2020-06-04,3.95261814e+15
2020-06-05,3.13416783e+15
2020-06-06,4.76082039e+15
2020-06-07,2.8957448e+15
2020-06-08,-1.267651e+30
2020-06-09,4.25694851e+15
2020-06-10,3.34147677e+15
2020-06-11,3.40374279e+15
2020-06-12,4.29223731e+15
2020-06-13,3.23130952e+15
2020-06-14,3.00529599e+15
2020-06-15,4.52343916e+15
2020-06-16,3.07584378e+15
2020-06-17,2.22707369e+15
2020-06-18,3.56294837e+15
2020-06-19,4.57143864e+15
2020-06-20,3.33324198e+15
2020-06-21,-1.267651e+30
2020-06-22,3.83760133e+15
2020-06-23,2.72198277e+15
2020-06-24,-1.267651e+30
2020-06-25,3.02743091e+15
2020-06-26,2.71314212e+15
2020-06-27,3.64886194e+15
2020-06-28,3.21170031e+15
2020-06-29,4.40939999e+15
2020-06-30,4.10835419e+15
2020-07-01,2.93179917e+15
2020-07-02,3.58258926e+15
2020-07-03,2.80168662e+15
2020-07-04,1.92393033e+15
2020-07-05,2.7601159e+15
2020-07-06,2.43528592e+15
2020-07-07,2.98498965e+15
2020-07-08,4.18237902e+15
2020-07-09,3.21783057e+15
2020-07-10,-1.267651e+30
2020-07-11,3.56355665e+15
2020-07-12,2.30358477e+15
2020-07-13,2.72418179e+15
2020-07-14,2.59662099e+15
2020-07-15,4.60290679e+15
2020-07-16,3.10671708e+15
2020-07-17,4.71734297e+15
2020-07-18,3.88261795e+15
2020-07-19,1.87050362e+15
2020-07-20,2.52634379e+15
2020-07-21,2.76209266e+15
2020-07-22,2.44432414e+15
2020-07-23,2.35902663e+15
2020-07-24,3.4029144e+15
2020-07-25,3.15660017e+15
2020-07-26,-1.267651e+30
2020-07-27,2.25705712e+15
2020-07-28,2.55218634e+15
2020-07-29,3.65050235e+15
2020-07-30,2.82125315e+15
2020-07-31,3.15090719e+15
2020-08-01,2.26506589e+15
2020-08-02,3.69558555e+15
2020-08-03,3.12560178e+15
2020-08-04,2.0669459e+15
2020-08-05,2.38828341e+15
2020-08-06,2.81527348e+15
2020-08-07,-1.267651e+30
2020-08-08,2.48041555e+15
2020-08-09,3.25041407e+15
2020-08-10,2.695966e+15
2020-08-11,-1.267651e+30
2020-08-12,2.48015168e+15
2020-08-13,2.40859699e+15
2020-08-14,2.86421759e+15
2020-08-15,2.717749e+15
2020-08-16,2.57846187e+15
2020-08-17,2.74568804e+15
2020-08-18,-4.16391342e+14
2020-08-19,2.51865392e+15
2020-08-20,2.59198001e+15
2020-08-21,3.24097883e+15
2020-08-22,3.72499561e+15
2020-08-23,2.87735267e+15
2020-08-24,2.37654499e+15
2020-08-25,2.27821682e+15
2020-08-26,3.40125413e+15
2020-08-27,-1.267651e+30
2020-08-28,3.44196505e+15
2020-08-29,2.54756093e+15
2020-08-30,2.78223069e+15
2020-08-31,2.85630223e+15
2020-09-01,3.33650508e+15
2020-09-02,3.17292749e+15
2020-09-03,6.55986126e+14
2020-09-04,3.54820429e+15
2020-09-05,1.25088319e+15
2020-09-06,3.18871552e+15
2020-09-07,3.11369318e+15
2020-09-08,3.55716869e+15
2020-09-09,2.27400694e+15
2020-09-10,2.99911312e+15
2020-09-11,2.914058e+15
2020-09-12,-1.267651e+30
2020-09-13,3.50994364e+15
2020-09-14,3.0483125e+15
2020-09-15,3.76947053e+15
2020-09-16,3.52607608e+15
2020-09-17,2.42164161e+15
2020-09-18,3.51473441e+15
2020-09-19,3.76454232e+15
2020-09-20,3.81424932e+15
2020-09-21,2.19162907e+15
2020-09-22,3.65754073e+15
2020-09-23,3.44862842e+15
2020-09-24,4.22541513e+15
2020-09-25,4.27322456e+15
2020-09-26,2.28934159e+15
2020-09-27,3.95123489e+15
2020-09-28,6.5844125e+15
2020-09-29,4.1878492e+15
2020-09-30,2.16134297e+15
2020-10-01,3.94389479e+15
2020-10-02,3.30889085e+15
2020-10-03,3.53355469e+15
2020-10-04,2.97085089e+15
2020-10-05,5.30550062e+15
2020-10-06,3.94627044e+15
2020-10-07,-1.267651e+30
2020-10-08,5.43383049e+15
2020-10-09,3.54639557e+15
2020-10-10,4.0121684e+15
2020-10-11,3.89192273e+15
2020-10-12,3.6127061e+15
2020-10-13,3.60834993e+15
2020-10-14,-1.80581484e+15
2020-10-15,-1.267651e+30
2020-10-16,3.1975041e+15
2020-10-17,3.54840185e+15
2020-10-18,3.32899882e+15
2020-10-19,3.53936068e+15
2020-10-20,3.94975232e+15
2020-10-21,4.84716963e+15
2020-10-22,4.40833833e+15
2020-10-23,-1.267651e+30
2020-10-24,3.64930486e+15
2020-10-25,3.31869251e+15
2020-10-26,4.46783812e+15
2020-10-27,3.78132947e+15
2020-10-28,3.75776755e+15
2020-10-29,4.58912531e+15
2020-10-30,-1.267651e+30
2020-10-31,3.97032736e+15
2020-11-01,3.31442411e+15
2020-11-02,3.99194903e+15
2020-11-03,3.19765764e+15
2020-11-04,2.88346039e+15
2020-11-05,3.60195043e+15
2020-11-06,4.18862981e+15
2020-11-07,3.90259546e+15
2020-11-08,3.04088919e+15
2020-11-09,3.9714513e+15
2020-11-10,3.79336988e+15
2020-11-11,4.52635812e+15
2020-11-12,3.73976251e+15
2020-11-13,2.10331139e+15
2020-11-14,3.87800301e+15
2020-11-15,4.76345213e+15
2020-11-16,3.89130077e+15
2020-11-17,3.48188972e+15
2020-11-18,4.07766343e+15
2020-11-19,3.9748615e+15
2020-11-20,3.44759709e+15
2020-11-21,3.18078916e+15
2020-11-22,3.23872988e+15
2020-11-23,4.01492952e+15
2020-11-24,2.99274985e+15
2020-11-25,4.00122321e+15
2020-11-26,3.54243775e+15
2020-11-27,4.18200402e+15
2020-11-28,3.18372074e+15
2020-11-29,3.05559516e+15
2020-11-30,4.05287583e+15
2020-12-01,-1.267651e+30
2020-12-02,3.88858125e+15
2020-12-03,3.48334894e+15
2020-12-04,4.4462653e+15
