Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2020-12-04T23:59:59Z
User Bounding Box:,"8.737,44.6265,10.0334,45.791"
Data Bounding Box:,"8.875,44.875,9.875,45.625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2020-12-04T23:59:59Z&bbox=8.737,44.6265,10.0334,45.791&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2005-01-01,1.22639151e+16
2005-01-02,1.16569052e+16
2005-01-03,1.21203236e+16
2005-01-04,9.70410065e+15
2005-01-05,1.33576629e+16
2005-01-06,9.41171645e+15
2005-01-07,1.68831997e+16
2005-01-08,1.1428705e+16
2005-01-09,-1.267651e+30
2005-01-10,1.39159668e+16
2005-01-11,1.18048336e+16
2005-01-12,1.42782344e+16
2005-01-13,1.75767789e+16
2005-01-14,2.06932083e+16
2005-01-15,1.79378396e+16
2005-01-16,5.96723321e+15
2005-01-17,7.31437601e+15
2005-01-18,-1.267651e+30
2005-01-19,2.67613614e+16
2005-01-20,2.0817335e+16
2005-01-21,-1.267651e+30
2005-01-22,1.47710991e+16
2005-01-23,-1.267651e+30
2005-01-24,1.93544519e+16
2005-01-25,2.29987617e+16
2005-01-26,1.38335689e+16
2005-01-27,2.14973915e+16
2005-01-28,2.58005514e+16
2005-01-29,1.79087122e+16
2005-01-30,1.28687099e+16
2005-01-31,1.44869945e+16
2005-02-01,2.12522949e+16
2005-02-02,1.34366205e+16
2005-02-03,1.52731636e+16
2005-02-04,1.32155424e+16
2005-02-05,1.19316972e+16
2005-02-06,1.0966122e+16
2005-02-07,1.0803026e+16
2005-02-08,2.06149218e+16
2005-02-09,1.89929338e+16
2005-02-10,1.96009916e+16
2005-02-11,2.28307942e+16
2005-02-12,2.19973085e+16
2005-02-13,5.02528354e+15
2005-02-14,1.19789505e+16
2005-02-15,1.78806038e+16
2005-02-16,1.5387239e+16
2005-02-17,2.14735158e+16
2005-02-18,2.02035884e+16
2005-02-19,-1.267651e+30
2005-02-20,-1.267651e+30
2005-02-21,-1.267651e+30
2005-02-22,-1.267651e+30
2005-02-23,1.17327898e+16
2005-02-24,1.88583467e+16
2005-02-25,9.34053059e+15
2005-02-26,1.77474652e+16
2005-02-27,7.30300992e+15
2005-02-28,1.22165738e+16
2005-03-01,1.76794254e+16
2005-03-02,1.71274051e+16
2005-03-03,1.25838923e+16
2005-03-04,1.02540487e+16
2005-03-05,8.00301335e+15
2005-03-06,1.2421534e+16
2005-03-07,1.48724023e+16
2005-03-08,1.51459434e+16
2005-03-09,1.46413975e+16
2005-03-10,1.80144479e+16
2005-03-11,1.84323783e+16
2005-03-12,1.36503327e+16
2005-03-13,1.22494507e+16
2005-03-14,1.62218832e+16
2005-03-15,1.46646032e+16
2005-03-16,1.43156833e+16
2005-03-17,1.70775201e+16
2005-03-18,1.4500515e+16
2005-03-19,9.7107804e+15
2005-03-20,6.73990427e+15
2005-03-21,1.73318283e+16
2005-03-22,1.16112605e+16
2005-03-23,2.08475608e+16
2005-03-24,7.88737297e+15
2005-03-25,1.12273194e+16
2005-03-26,-1.267651e+30
2005-03-27,-1.267651e+30
2005-03-28,6.49587658e+15
2005-03-29,-1.267651e+30
2005-03-30,1.45051633e+16
2005-03-31,1.28175718e+16
2005-04-01,9.5255406e+15
2005-04-02,9.25971756e+15
2005-04-03,1.02097482e+16
2005-04-04,1.63184448e+16
2005-04-05,1.66539429e+16
2005-04-06,1.90988906e+16
2005-04-07,-1.267651e+30
2005-04-08,-1.267651e+30
2005-04-09,7.54451861e+15
2005-04-10,-1.267651e+30
2005-04-11,-1.267651e+30
2005-04-12,-1.267651e+30
2005-04-13,1.11430693e+16
2005-04-14,1.31132685e+16
2005-04-15,1.3695636e+16
2005-04-16,-1.267651e+30
2005-04-17,9.61409424e+15
2005-04-18,1.17394008e+16
2005-04-19,-1.267651e+30
2005-04-20,1.71558453e+16
2005-04-21,1.59279012e+16
2005-04-22,1.35628346e+16
2005-04-23,-1.267651e+30
2005-04-24,-1.267651e+30
2005-04-25,7.07880404e+15
2005-04-26,1.1500198e+16
2005-04-27,-1.267651e+30
2005-04-28,1.21337175e+16
2005-04-29,1.32698942e+16
2005-04-30,8.07484561e+15
2005-05-01,6.06361872e+15
2005-05-02,8.94928162e+15
2005-05-03,8.83021922e+15
2005-05-04,1.03171492e+16
2005-05-05,1.35247726e+16
2005-05-06,1.35629269e+16
2005-05-07,8.38971932e+15
2005-05-08,5.79552955e+15
2005-05-09,1.22172503e+16
2005-05-10,-1.267651e+30
2005-05-11,8.73716983e+15
2005-05-12,1.42053359e+16
2005-05-13,1.49667445e+16
2005-05-14,-1.267651e+30
2005-05-15,6.68722596e+15
2005-05-16,-1.267651e+30
2005-05-17,1.15903912e+16
2005-05-18,1.81781098e+16
2005-05-19,1.15378971e+16
2005-05-20,1.254236e+16
2005-05-21,1.01574881e+16
2005-05-22,7.50593961e+15
2005-05-23,9.77241318e+15
2005-05-24,1.12093385e+16
2005-05-25,1.10861009e+16
2005-05-26,1.19452189e+16
2005-05-27,1.04761393e+16
2005-05-28,8.61606571e+15
2005-05-29,-1.267651e+30
2005-05-30,1.39115999e+16
2005-05-31,1.10457282e+16
2005-06-01,9.86107311e+15
2005-06-02,7.78298647e+15
2005-06-03,7.84449577e+15
2005-06-04,7.96714554e+15
2005-06-05,6.13384359e+15
2005-06-06,8.53161055e+15
2005-06-07,8.39250622e+15
2005-06-08,1.11623075e+16
2005-06-09,1.25674276e+16
2005-06-10,1.14023039e+16
2005-06-11,6.41405208e+15
2005-06-12,6.50829279e+15
2005-06-13,6.47279596e+15
2005-06-14,-1.267651e+30
2005-06-15,7.93512549e+15
2005-06-16,1.05112281e+16
2005-06-17,7.72332938e+15
2005-06-18,7.97945868e+15
2005-06-19,6.98687241e+15
2005-06-20,8.48713562e+15
2005-06-21,1.03097082e+16
2005-06-22,1.06249996e+16
2005-06-23,7.49329522e+15
2005-06-24,8.41048173e+15
2005-06-25,7.67472162e+15
2005-06-26,5.72468138e+15
2005-06-27,7.94129575e+15
2005-06-28,8.65591656e+15
2005-06-29,8.03222181e+15
2005-06-30,-1.267651e+30
2005-07-01,8.98016941e+15
2005-07-02,6.09936681e+15
2005-07-03,6.37458456e+15
2005-07-04,8.67931823e+15
2005-07-05,1.02948433e+16
2005-07-06,9.12439388e+15
2005-07-07,9.30863294e+15
2005-07-08,9.28823185e+15
2005-07-09,6.15936858e+15
2005-07-10,8.00575784e+15
2005-07-11,1.06849251e+16
2005-07-12,1.0647705e+16
2005-07-13,9.94530172e+15
2005-07-14,9.45485188e+15
2005-07-15,9.36566904e+15
2005-07-16,6.69782702e+15
2005-07-17,6.44681517e+15
2005-07-18,-1.267651e+30
2005-07-19,7.25465557e+15
2005-07-20,8.40244853e+15
2005-07-21,8.96193084e+15
2005-07-22,8.34607923e+15
2005-07-23,6.18130781e+15
2005-07-24,5.75229855e+15
2005-07-25,7.13531346e+15
2005-07-26,7.74470167e+15
2005-07-27,8.42607085e+15
2005-07-28,7.96767705e+15
2005-07-29,7.04136695e+15
2005-07-30,6.09648811e+15
2005-07-31,6.28381418e+15
2005-08-01,-1.267651e+30
2005-08-02,6.00636198e+15
2005-08-03,9.41849499e+15
2005-08-04,9.20816936e+15
2005-08-05,9.88869512e+15
2005-08-06,8.268918e+15
2005-08-07,5.82938463e+15
2005-08-08,7.93304619e+15
2005-08-09,8.76852309e+15
2005-08-10,6.23357541e+15
2005-08-11,6.54778287e+15
2005-08-12,6.58989449e+15
2005-08-13,6.74955184e+15
2005-08-14,4.08023504e+15
2005-08-15,7.28961016e+15
2005-08-16,7.35358155e+15
2005-08-17,5.97879312e+15
2005-08-18,7.19112495e+15
2005-08-19,5.76670226e+15
2005-08-20,6.27247224e+15
2005-08-21,-1.267651e+30
2005-08-22,-1.267651e+30
2005-08-23,8.27938376e+15
2005-08-24,7.89792892e+15
2005-08-25,4.72383803e+15
2005-08-26,5.65985905e+15
2005-08-27,-1.267651e+30
2005-08-28,4.34093821e+15
2005-08-29,7.53302313e+15
2005-08-30,8.14226693e+15
2005-08-31,8.80746126e+15
2005-09-01,8.93826664e+15
2005-09-02,-1.267651e+30
2005-09-03,8.18459007e+15
2005-09-04,5.71649356e+15
2005-09-05,8.77295979e+15
2005-09-06,1.06980957e+16
2005-09-07,-1.267651e+30
2005-09-08,-1.267651e+30
2005-09-09,9.09650988e+15
2005-09-10,6.93179697e+15
2005-09-11,4.73087426e+15
2005-09-12,1.66506229e+16
2005-09-13,1.12058564e+16
2005-09-14,1.0201955e+16
2005-09-15,1.2782192e+16
2005-09-16,5.49297595e+15
2005-09-17,-1.267651e+30
2005-09-18,-1.267651e+30
2005-09-19,-1.267651e+30
2005-09-20,1.38176775e+16
2005-09-21,1.20014013e+16
2005-09-22,1.21326373e+16
2005-09-23,1.33346601e+16
2005-09-24,8.88038122e+15
2005-09-25,7.38728416e+15
2005-09-26,1.35294616e+16
2005-09-27,8.68205359e+15
2005-09-28,9.63997679e+15
2005-09-29,-1.267651e+30
2005-09-30,1.01878514e+16
2005-10-01,1.3107437e+16
2005-10-02,-1.267651e+30
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,-1.267651e+30
2005-10-06,-1.267651e+30
2005-10-07,-1.267651e+30
2005-10-08,1.7700838e+16
2005-10-09,8.94345926e+15
2005-10-10,8.26813202e+15
2005-10-11,1.53238227e+16
2005-10-12,1.8892103e+16
2005-10-13,1.92798956e+16
2005-10-14,1.66937401e+16
2005-10-15,1.32262927e+16
2005-10-16,8.91228799e+15
2005-10-17,8.71251564e+15
2005-10-18,1.1484531e+16
2005-10-19,-1.267651e+30
2005-10-20,-1.267651e+30
2005-10-21,-1.267651e+30
2005-10-22,9.12037701e+15
2005-10-23,-1.267651e+30
2005-10-24,1.25679999e+16
2005-10-25,-1.267651e+30
2005-10-26,1.45163914e+16
2005-10-27,1.81669064e+16
2005-10-28,1.46883962e+16
2005-10-29,1.59630491e+16
2005-10-30,1.02962757e+16
2005-10-31,-1.267651e+30
2005-11-01,-1.267651e+30
2005-11-02,3.40876608e+16
2005-11-03,1.867222e+16
2005-11-04,-1.267651e+30
2005-11-05,-1.267651e+30
2005-11-06,-1.267651e+30
2005-11-07,1.46294843e+16
2005-11-08,2.01392412e+16
2005-11-09,7.63523799e+15
2005-11-10,1.03590348e+16
2005-11-11,1.10206778e+16
2005-11-12,2.11907502e+16
2005-11-13,5.59114655e+15
2005-11-14,9.34975404e+15
2005-11-15,-1.267651e+30
2005-11-16,9.0136911e+15
2005-11-17,2.25829531e+16
2005-11-18,1.57118043e+16
2005-11-19,1.57276763e+16
2005-11-20,1.6454548e+16
2005-11-21,1.31880718e+16
2005-11-22,2.16616525e+16
2005-11-23,1.94434651e+16
2005-11-24,2.81771673e+16
2005-11-25,-1.267651e+30
2005-11-26,-1.267651e+30
2005-11-27,1.42021587e+16
2005-11-28,2.29737607e+16
2005-11-29,-1.267651e+30
2005-11-30,4.02926473e+16
2005-12-01,2.01147535e+16
2005-12-02,-1.267651e+30
2005-12-03,2.92897378e+16
2005-12-04,-1.267651e+30
2005-12-05,9.66638439e+15
2005-12-06,2.26578079e+16
2005-12-07,-1.267651e+30
2005-12-08,-1.267651e+30
2005-12-09,1.43978353e+16
2005-12-10,1.79609766e+16
2005-12-11,1.36104507e+16
2005-12-12,-1.267651e+30
2005-12-13,1.10240697e+16
2005-12-14,1.75409031e+16
2005-12-15,1.94432203e+16
2005-12-16,2.90347585e+16
2005-12-17,1.75452217e+16
2005-12-18,5.36636085e+15
2005-12-19,1.08753694e+16
2005-12-20,2.4692117e+16
2005-12-21,2.66840692e+16
2005-12-22,2.49732033e+16
2005-12-23,3.00688835e+16
2005-12-24,1.99479284e+16
2005-12-25,-1.267651e+30
2005-12-26,-1.267651e+30
2005-12-27,-1.267651e+30
2005-12-28,-1.267651e+30
2005-12-29,1.98168266e+16
2005-12-30,2.45884215e+16
2005-12-31,-1.267651e+30
2006-01-01,-1.267651e+30
2006-01-02,1.28784315e+16
2006-01-03,2.90499991e+16
2006-01-04,2.31157631e+16
2006-01-05,-1.267651e+30
2006-01-06,2.13736964e+16
2006-01-07,2.01062387e+16
2006-01-08,-1.267651e+30
2006-01-09,1.55464104e+16
2006-01-10,2.53499815e+16
2006-01-11,1.56563262e+16
2006-01-12,4.80314396e+16
2006-01-13,2.34276851e+16
2006-01-14,2.31761482e+16
2006-01-15,1.74946302e+16
2006-01-16,2.79798823e+16
2006-01-17,-1.267651e+30
2006-01-18,2.66394874e+16
2006-01-19,3.50404907e+16
2006-01-20,4.18564191e+16
2006-01-21,2.61456843e+16
2006-01-22,2.69642986e+16
2006-01-23,1.48852915e+16
2006-01-24,1.98659353e+16
2006-01-25,3.08378437e+16
2006-01-26,-1.267651e+30
2006-01-27,-1.267651e+30
2006-01-28,-1.267651e+30
2006-01-29,-1.267651e+30
2006-01-30,1.90427683e+16
2006-01-31,1.67923579e+16
2006-02-01,1.41874957e+16
2006-02-02,2.53129352e+16
2006-02-03,2.08302821e+16
2006-02-04,2.73358176e+16
2006-02-05,8.6219219e+15
2006-02-06,1.4475557e+16
2006-02-07,2.04006695e+16
2006-02-08,-1.267651e+30
2006-02-09,-1.267651e+30
2006-02-10,1.37747697e+16
2006-02-11,1.49729604e+16
2006-02-12,1.46309339e+16
2006-02-13,2.07110023e+16
2006-02-14,1.58551467e+16
2006-02-15,-1.267651e+30
2006-02-16,-1.267651e+30
2006-02-17,1.88324158e+16
2006-02-18,-1.267651e+30
2006-02-19,-1.267651e+30
2006-02-20,-1.267651e+30
2006-02-21,3.4888218e+15
2006-02-22,-1.267651e+30
2006-02-23,1.24379794e+16
2006-02-24,-1.267651e+30
2006-02-25,-1.267651e+30
2006-02-26,8.25785202e+15
2006-02-27,1.61662021e+16
2006-02-28,-1.267651e+30
2006-03-03,3.12303371e+16
2006-03-04,2.17754026e+16
2006-03-05,6.74867299e+15
2006-03-06,1.51029798e+16
2006-03-07,9.21039953e+15
2006-03-08,3.00251307e+16
2006-03-09,2.10516512e+16
2006-03-10,2.10398787e+16
2006-03-11,1.22696704e+16
2006-03-12,9.93242863e+15
2006-03-13,1.43691019e+16
2006-03-14,2.03726169e+16
2006-03-15,2.30839997e+16
2006-03-16,7.08469351e+15
2006-03-17,1.28626454e+16
2006-03-18,9.39909355e+15
2006-03-19,1.39474296e+16
2006-03-20,1.42435418e+16
2006-03-21,-1.267651e+30
2006-03-22,1.67474465e+16
2006-03-23,1.27143573e+16
2006-03-24,-1.267651e+30
2006-03-25,9.70464504e+15
2006-03-26,9.50729988e+15
2006-03-27,3.65494791e+15
2006-03-28,-1.267651e+30
2006-03-29,-1.267651e+30
2006-03-30,2.16517569e+16
2006-03-31,9.56927626e+15
2006-04-01,-1.267651e+30
2006-04-02,7.60056472e+15
2006-04-03,1.25537825e+16
2006-04-04,1.31205109e+16
2006-04-05,-1.267651e+30
2006-04-06,1.27265207e+16
2006-04-07,1.22024402e+16
2006-04-08,1.2207782e+16
2006-04-09,-1.267651e+30
2006-04-10,-1.267651e+30
2006-04-11,1.65383074e+16
2006-04-12,1.7097831e+16
2006-04-13,1.38527255e+16
2006-04-14,1.09183362e+16
2006-04-15,-1.267651e+30
2006-04-16,5.54363079e+15
2006-04-17,-1.267651e+30
2006-04-18,9.41963208e+15
2006-04-19,1.13155853e+16
2006-04-20,1.4147968e+16
2006-04-21,1.61894261e+16
2006-04-22,1.02153886e+16
2006-04-23,6.6516282e+15
2006-04-24,1.16670435e+16
2006-04-25,-1.267651e+30
2006-04-26,9.60370149e+15
2006-04-27,1.51404448e+16
2006-04-28,1.21689061e+16
2006-04-29,9.40274642e+15
2006-04-30,-1.267651e+30
2006-05-01,6.0396469e+15
2006-05-02,8.35397338e+15
2006-05-03,9.30491995e+15
2006-05-04,1.00882887e+16
2006-05-05,6.42660359e+15
2006-05-06,1.16228633e+16
2006-05-07,5.59589195e+15
2006-05-08,-1.267651e+30
2006-05-09,1.37673695e+16
2006-05-10,1.71056887e+16
2006-05-11,9.09302988e+15
2006-05-12,1.20607911e+16
2006-05-13,8.72452008e+15
2006-05-14,5.56056531e+15
2006-05-15,8.90739388e+15
2006-05-16,7.83416477e+15
2006-05-17,1.03617267e+16
2006-05-18,9.85313279e+15
2006-05-19,1.0347621e+16
2006-05-20,7.36957601e+15
2006-05-21,6.69757522e+15
2006-05-22,9.45795607e+15
2006-05-23,-1.267651e+30
2006-05-24,1.12237234e+16
2006-05-25,1.0747432e+16
2006-05-26,1.28884817e+16
2006-05-27,5.73216482e+15
2006-05-28,6.21839485e+15
2006-05-29,7.15395898e+15
2006-05-30,1.16506818e+16
2006-05-31,-1.267651e+30
2006-06-01,1.44107792e+16
2006-06-02,8.8927781e+15
2006-06-03,8.04233807e+15
2006-06-04,7.02417044e+15
2006-06-05,1.31919405e+16
2006-06-06,9.53210439e+15
2006-06-07,9.43813158e+15
2006-06-08,1.20609682e+16
2006-06-09,1.13615865e+16
2006-06-10,7.89219514e+15
2006-06-11,6.4427983e+15
2006-06-12,1.05036475e+16
2006-06-13,1.02182802e+16
2006-06-14,9.61876394e+15
2006-06-15,8.85291383e+15
2006-06-16,7.09107529e+15
2006-06-17,-1.267651e+30
2006-06-18,8.68175187e+15
2006-06-19,1.10792193e+16
2006-06-20,7.48735689e+15
2006-06-21,1.04981123e+16
2006-06-22,9.61573599e+15
2006-06-23,9.18235124e+15
2006-06-24,7.51858882e+15
2006-06-25,6.33076193e+15
2006-06-26,9.38305292e+15
2006-06-27,9.69239149e+15
2006-06-28,1.05034048e+16
2006-06-29,8.38613839e+15
2006-06-30,1.09442585e+16
2006-07-01,6.39831479e+15
2006-07-02,6.53706263e+15
2006-07-03,8.30107979e+15
2006-07-04,7.93050035e+15
2006-07-05,8.98205813e+15
2006-07-06,-1.267651e+30
2006-07-07,8.94526958e+15
2006-07-08,6.61745798e+15
2006-07-09,6.23161959e+15
2006-07-10,8.27743707e+15
2006-07-11,8.92981253e+15
2006-07-12,8.53916593e+15
2006-07-13,9.57259197e+15
2006-07-14,1.05700412e+16
2006-07-15,6.90270984e+15
2006-07-16,6.10287365e+15
2006-07-17,8.65214397e+15
2006-07-18,9.86406563e+15
2006-07-19,-1.267651e+30
2006-07-20,9.5483748e+15
2006-07-21,9.01520615e+15
2006-07-22,6.86669385e+15
2006-07-23,6.82893465e+15
2006-07-24,7.4980621e+15
2006-07-25,8.95029094e+15
2006-07-26,9.19384565e+15
2006-07-27,8.26471376e+15
2006-07-28,6.23878735e+15
2006-07-29,7.81132896e+15
2006-07-30,5.22417005e+15
2006-07-31,7.47641063e+15
2006-08-01,8.35054063e+15
2006-08-02,7.87385778e+15
2006-08-03,8.90438311e+15
2006-08-04,1.10222884e+16
2006-08-05,8.20002458e+15
2006-08-06,7.01013932e+15
2006-08-07,6.97388443e+15
2006-08-08,8.87208495e+15
2006-08-09,8.24029795e+15
2006-08-10,7.90588374e+15
2006-08-11,6.83092e+15
2006-08-12,6.09021584e+15
2006-08-13,7.62048639e+15
2006-08-14,6.82840852e+15
2006-08-15,5.34538798e+15
2006-08-16,-1.267651e+30
2006-08-17,4.33489385e+15
2006-08-18,5.73167895e+15
2006-08-19,4.55937354e+15
2006-08-20,-1.267651e+30
2006-08-21,7.36561336e+15
2006-08-22,7.16456218e+15
2006-08-23,7.06201608e+15
2006-08-24,6.65245713e+15
2006-08-25,6.40964545e+15
2006-08-26,5.8590709e+15
2006-08-27,5.51130203e+15
2006-08-28,8.01876622e+15
2006-08-29,1.06697661e+16
2006-08-30,8.43442456e+15
2006-08-31,1.03685289e+16
2006-09-01,1.02927946e+16
2006-09-02,6.87002299e+15
2006-09-03,5.13356557e+15
2006-09-04,8.25204468e+15
2006-09-05,9.31202382e+15
2006-09-06,9.56603033e+15
2006-09-07,8.34175474e+15
2006-09-08,1.18136264e+16
2006-09-09,6.23244959e+15
2006-09-10,5.87787857e+15
2006-09-11,9.59871718e+15
2006-09-12,1.17680815e+16
2006-09-13,1.25181289e+16
2006-09-14,-1.267651e+30
2006-09-15,5.85249853e+15
2006-09-16,8.97773524e+15
2006-09-17,6.02289331e+15
2006-09-18,7.61565723e+15
2006-09-19,1.13245671e+16
2006-09-20,1.07173833e+16
2006-09-21,-1.267651e+30
2006-09-22,1.0516498e+16
2006-09-23,8.38980146e+15
2006-09-24,7.02035007e+15
2006-09-25,-1.267651e+30
2006-09-26,9.37861729e+15
2006-09-27,9.63357621e+15
2006-09-28,1.27044521e+16
2006-09-29,9.01978029e+15
2006-09-30,5.35003729e+15
2006-10-01,-1.267651e+30
2006-10-02,8.30200589e+15
2006-10-03,1.47057855e+16
2006-10-04,1.56174975e+16
2006-10-05,1.31350215e+16
2006-10-06,1.76796638e+16
2006-10-07,1.22291366e+16
2006-10-08,8.68248899e+15
2006-10-09,1.46177043e+16
2006-10-10,1.71243728e+16
2006-10-11,2.26479338e+16
2006-10-12,2.38868558e+16
2006-10-13,1.63110145e+16
2006-10-14,1.15638537e+16
2006-10-15,8.6980255e+15
2006-10-16,1.36611399e+16
2006-10-17,1.21225345e+16
2006-10-18,2.32261931e+16
2006-10-19,-1.267651e+30
2006-10-20,-1.267651e+30
2006-10-21,-1.267651e+30
2006-10-22,-1.267651e+30
2006-10-23,-1.267651e+30
2006-10-24,1.06021644e+16
2006-10-25,2.02767833e+16
2006-10-26,1.54436555e+16
2006-10-27,1.25152416e+16
2006-10-28,1.36173871e+16
2006-10-29,6.47035803e+15
2006-10-30,1.51031365e+16
2006-10-31,2.13392594e+16
2006-11-01,1.0710099e+16
2006-11-02,9.85153506e+15
2006-11-03,1.3574999e+16
2006-11-04,1.9892607e+16
2006-11-05,1.3466769e+16
2006-11-06,1.28813811e+16
2006-11-07,3.18066423e+16
2006-11-08,1.30008295e+16
2006-11-09,1.59288225e+16
2006-11-10,2.67328772e+16
2006-11-11,7.03186541e+15
2006-11-12,1.05694936e+16
2006-11-13,1.45204168e+16
2006-11-14,2.78340703e+16
2006-11-15,-1.267651e+30
2006-11-16,-1.267651e+30
2006-11-17,-1.267651e+30
2006-11-18,-1.267651e+30
2006-11-19,2.48988789e+16
2006-11-20,3.42074925e+16
2006-11-21,-1.267651e+30
2006-11-22,1.59868583e+16
2006-11-23,1.9055228e+16
2006-11-24,-1.267651e+30
2006-11-25,-1.267651e+30
2006-11-26,1.28284553e+16
2006-11-27,-1.267651e+30
2006-11-28,-1.267651e+30
2006-11-29,3.48907332e+15
2006-11-30,2.11350852e+16
2006-12-01,2.13677393e+16
2006-12-02,-1.267651e+30
2006-12-03,2.78115604e+16
2006-12-04,-1.267651e+30
2006-12-05,9.68271601e+15
2006-12-06,-1.267651e+30
2006-12-07,-1.267651e+30
2006-12-08,1.77860791e+16
2006-12-09,1.88954273e+16
2006-12-10,1.10668787e+16
2006-12-11,1.42942482e+16
2006-12-12,1.90272871e+16
2006-12-13,2.31069391e+16
2006-12-14,1.97951263e+16
2006-12-15,2.65768367e+16
