Title:,"Time Series, Area-Averaged of NO2 Total Column (30% Cloud Screened) daily 0.25 deg. [OMI ()"
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2020-12-04T23:59:59Z
User Bounding Box:,"126.6318,37.1887,127.4887,37.8479"
Data Bounding Box:,"126.875,37.375,127.375,37.625"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2020-12-04T23:59:59Z&bbox=126.6318,37.1887,127.4887,37.8479&data=OMNO2d_003_ColumnAmountNO2CloudScreened&portal=GIOVANNI&format=json"
Fill Value (mean_OMNO2d_003_ColumnAmountNO2CloudScreened):, -1.267651e+30

time, mean_OMNO2d_003_ColumnAmountNO2CloudScreened
2005-01-01,1.42877424e+16
2005-01-02,1.48121031e+16
2005-01-03,-1.267651e+30
2005-01-04,1.83851208e+16
2005-01-05,3.80966004e+16
2005-01-06,3.81160953e+16
2005-01-07,1.78616416e+16
2005-01-08,3.20019044e+16
2005-01-09,1.04155716e+16
2005-01-10,4.34355283e+16
2005-01-11,2.56103488e+16
2005-01-12,2.59909259e+16
2005-01-13,3.23780856e+16
2005-01-14,5.26081782e+16
2005-01-15,2.51888364e+16
2005-01-16,9.51612389e+15
2005-01-17,3.8032352e+16
2005-01-18,-1.267651e+30
2005-01-19,2.35853125e+16
2005-01-20,2.85620286e+16
2005-01-21,-1.267651e+30
2005-01-22,2.88052998e+16
2005-01-23,2.2266764e+16
2005-01-24,2.818076e+16
2005-01-25,-1.267651e+30
2005-01-26,4.23617692e+16
2005-01-27,4.05261775e+16
2005-01-28,3.59419485e+16
2005-01-29,2.02999117e+16
2005-01-30,1.73147333e+16
2005-01-31,2.04827742e+16
2005-02-01,1.19931593e+16
2005-02-02,2.44051015e+16
2005-02-03,3.0325525e+16
2005-02-04,3.91834204e+16
2005-02-05,2.87648477e+16
2005-02-06,3.00534538e+16
2005-02-07,-1.267651e+30
2005-02-08,1.24846614e+16
2005-02-09,-1.267651e+30
2005-02-10,7.63753418e+15
2005-02-11,1.71928228e+16
2005-02-12,3.65979103e+16
2005-02-13,3.3572939e+16
2005-02-14,-1.267651e+30
2005-02-15,-1.267651e+30
2005-02-16,-1.267651e+30
2005-02-17,1.76410961e+16
2005-02-18,7.85276788e+15
2005-02-19,1.45799623e+16
2005-02-20,1.67451068e+16
2005-02-21,2.81239613e+16
2005-02-22,-1.267651e+30
2005-02-23,2.48190312e+16
2005-02-24,2.11101615e+16
2005-02-25,1.49227801e+16
2005-02-26,1.09106783e+16
2005-02-27,3.54259661e+16
2005-02-28,3.2784761e+16
2005-03-01,3.17160529e+16
2005-03-02,1.83690468e+16
2005-03-03,3.8681051e+16
2005-03-04,2.38570379e+16
2005-03-05,1.45811122e+16
2005-03-06,2.48179166e+16
2005-03-07,1.26410594e+16
2005-03-08,3.65198106e+16
2005-03-09,2.89100756e+16
2005-03-10,-1.267651e+30
2005-03-11,-1.267651e+30
2005-03-12,1.49641761e+16
2005-03-13,1.24867702e+16
2005-03-14,2.38436763e+16
2005-03-15,-1.267651e+30
2005-03-16,2.11680684e+16
2005-03-17,1.18132936e+16
2005-03-18,1.46620896e+16
2005-03-19,4.25202063e+16
2005-03-20,1.77886271e+16
2005-03-21,1.05685713e+16
2005-03-22,2.39701717e+16
2005-03-23,2.78742003e+16
2005-03-24,1.09637512e+16
2005-03-25,1.60661734e+16
2005-03-26,-1.267651e+30
2005-03-27,2.50787435e+16
2005-03-28,1.18305218e+16
2005-03-29,1.28286271e+16
2005-03-30,2.42957796e+16
2005-03-31,4.08767972e+16
2005-04-01,1.20136001e+16
2005-04-02,3.78953984e+16
2005-04-03,1.2463804e+16
2005-04-04,2.33356697e+16
2005-04-05,1.88905074e+16
2005-04-06,-1.267651e+30
2005-04-07,8.03489382e+15
2005-04-08,2.23043987e+16
2005-04-09,-1.267651e+30
2005-04-10,1.27963579e+16
2005-04-11,1.8260324e+16
2005-04-12,2.78727851e+16
2005-04-13,2.10406539e+16
2005-04-14,1.78066907e+16
2005-04-15,1.62309273e+16
2005-04-16,2.14236791e+16
2005-04-17,-1.267651e+30
2005-04-18,1.44050744e+16
2005-04-19,-1.267651e+30
2005-04-20,1.43972136e+16
2005-04-21,1.63976311e+16
2005-04-22,1.57459954e+16
2005-04-23,2.56754777e+16
2005-04-24,1.87970897e+16
2005-04-25,3.41959756e+16
2005-04-26,2.40055021e+16
2005-04-27,-1.267651e+30
2005-04-28,1.93531355e+16
2005-04-29,2.45343027e+16
2005-04-30,2.53134678e+16
2005-05-01,6.55749862e+15
2005-05-02,1.20451166e+16
2005-05-03,2.54781712e+16
2005-05-04,3.10335203e+16
2005-05-05,-1.267651e+30
2005-05-06,-1.267651e+30
2005-05-07,1.94279367e+16
2005-05-08,-1.267651e+30
2005-05-09,9.93706719e+15
2005-05-10,2.43281185e+16
2005-05-11,-1.267651e+30
2005-05-12,8.09268797e+15
2005-05-13,2.85397549e+16
2005-05-14,2.10430011e+16
2005-05-15,1.34530165e+16
2005-05-16,2.96985134e+16
2005-05-17,-1.267651e+30
2005-05-18,-1.267651e+30
2005-05-19,1.69780981e+16
2005-05-20,1.72614746e+16
2005-05-21,9.02761646e+15
2005-05-22,-1.267651e+30
2005-05-23,1.54755854e+16
2005-05-24,2.63012845e+16
2005-05-25,2.45750942e+16
2005-05-26,2.02643021e+16
2005-05-27,3.03574065e+16
2005-05-28,2.81686396e+16
2005-05-29,-1.267651e+30
2005-05-30,2.9655029e+16
2005-05-31,2.76191072e+16
2005-06-01,-1.267651e+30
2005-06-02,-1.267651e+30
2005-06-03,2.3605035e+16
2005-06-04,1.34580245e+16
2005-06-05,1.26853105e+16
2005-06-06,-1.267651e+30
2005-06-07,-1.267651e+30
2005-06-08,2.37338196e+16
2005-06-09,-1.267651e+30
2005-06-10,-1.267651e+30
2005-06-11,1.53622122e+16
2005-06-12,1.46840755e+16
2005-06-13,2.04459191e+16
2005-06-14,1.90619647e+16
2005-06-15,-1.267651e+30
2005-06-16,1.29812047e+16
2005-06-17,1.56373134e+16
2005-06-18,-1.267651e+30
2005-06-19,1.63745124e+16
2005-06-20,1.28630695e+16
2005-06-21,1.39121947e+16
2005-06-22,1.78865749e+16
2005-06-23,1.89974736e+16
2005-06-24,2.09624211e+16
2005-06-25,-1.267651e+30
2005-06-26,-1.267651e+30
2005-06-27,-1.267651e+30
2005-06-28,1.1310791e+16
2005-06-29,-1.267651e+30
2005-06-30,-1.267651e+30
2005-07-01,1.13432148e+16
2005-07-02,-1.267651e+30
2005-07-03,-1.267651e+30
2005-07-04,7.08960158e+15
2005-07-05,-1.267651e+30
2005-07-06,1.30773776e+16
2005-07-07,7.31769549e+15
2005-07-08,4.61787529e+15
2005-07-09,-1.267651e+30
2005-07-10,-1.267651e+30
2005-07-11,-1.267651e+30
2005-07-12,1.23490854e+16
2005-07-13,-1.267651e+30
2005-07-14,1.35148007e+16
2005-07-15,2.17466821e+16
2005-07-16,-1.267651e+30
2005-07-17,-1.267651e+30
2005-07-18,8.26342742e+15
2005-07-19,7.06457374e+15
2005-07-20,1.05975065e+16
2005-07-21,1.85192719e+16
2005-07-22,1.35770337e+16
2005-07-23,1.28562276e+16
2005-07-24,8.06905116e+15
2005-07-25,-1.267651e+30
2005-07-26,1.3566642e+16
2005-07-27,-1.267651e+30
2005-07-28,-1.267651e+30
2005-07-29,6.26557453e+15
2005-07-30,9.66115634e+15
2005-07-31,-1.267651e+30
2005-08-01,-1.267651e+30
2005-08-02,-1.267651e+30
2005-08-03,-1.267651e+30
2005-08-04,9.24397543e+15
2005-08-05,8.79457207e+15
2005-08-06,9.6984227e+15
2005-08-07,-1.267651e+30
2005-08-08,-1.267651e+30
2005-08-09,-1.267651e+30
2005-08-10,-1.267651e+30
2005-08-11,-1.267651e+30
2005-08-12,-1.267651e+30
2005-08-13,5.25409255e+15
2005-08-14,5.02967568e+15
2005-08-15,8.0530771e+15
2005-08-16,1.45866184e+16
2005-08-17,9.62776512e+15
2005-08-18,-1.267651e+30
2005-08-19,-1.267651e+30
2005-08-20,6.2676753e+15
2005-08-21,5.69653431e+15
2005-08-22,3.07119636e+15
2005-08-23,9.13483924e+15
2005-08-24,-1.267651e+30
2005-08-25,-1.267651e+30
2005-08-26,1.64701989e+16
2005-08-27,2.31182391e+16
2005-08-28,-1.267651e+30
2005-08-29,2.21536904e+16
2005-08-30,8.59955747e+15
2005-08-31,2.04406105e+16
2005-09-01,8.2422033e+15
2005-09-02,-1.267651e+30
2005-09-03,1.46512233e+16
2005-09-04,6.94080137e+15
2005-09-05,8.19363957e+15
2005-09-06,-1.267651e+30
2005-09-07,1.12301262e+16
2005-09-08,1.72798517e+16
2005-09-09,-1.267651e+30
2005-09-10,1.87384097e+16
2005-09-11,1.57666897e+16
2005-09-12,7.82077091e+15
2005-09-13,-1.267651e+30
2005-09-14,3.27865541e+16
2005-09-15,1.16858469e+16
2005-09-16,1.40140134e+16
2005-09-17,-1.267651e+30
2005-09-18,1.28572112e+16
2005-09-19,-1.267651e+30
2005-09-20,-1.267651e+30
2005-09-21,-1.267651e+30
2005-09-22,-1.267651e+30
2005-09-23,1.30331953e+16
2005-09-24,1.48942691e+16
2005-09-25,1.19339704e+16
2005-09-26,1.64157032e+16
2005-09-27,2.31344441e+16
2005-09-28,2.1462613e+16
2005-09-29,1.29760497e+16
2005-09-30,-1.267651e+30
2005-10-01,-1.267651e+30
2005-10-02,1.49303897e+16
2005-10-03,-1.267651e+30
2005-10-04,-1.267651e+30
2005-10-05,3.65311708e+16
2005-10-06,2.43129895e+16
2005-10-07,-1.267651e+30
2005-10-08,1.26919032e+16
2005-10-09,2.75157187e+16
2005-10-10,1.79067473e+16
2005-10-11,2.62511944e+16
2005-10-12,2.38342145e+16
2005-10-13,-1.267651e+30
2005-10-14,1.07713453e+16
2005-10-15,2.34566053e+16
2005-10-16,2.78347124e+16
2005-10-17,2.20879388e+16
2005-10-18,3.61964811e+16
2005-10-19,2.33996733e+16
2005-10-20,2.97938059e+16
2005-10-21,-1.267651e+30
2005-10-22,1.25023481e+16
2005-10-23,2.84791014e+16
2005-10-24,2.13375951e+16
2005-10-25,2.53986864e+16
2005-10-26,2.0398814e+16
2005-10-27,4.61282065e+16
2005-10-28,1.6219769e+16
2005-10-29,1.27696368e+16
2005-10-30,1.33955918e+16
2005-10-31,2.62156429e+16
2005-11-01,5.40157808e+16
2005-11-02,-1.267651e+30
2005-11-03,3.18918673e+16
2005-11-04,6.37820511e+16
2005-11-05,-1.267651e+30
2005-11-06,-1.267651e+30
2005-11-07,2.73942527e+16
2005-11-08,2.21183729e+16
2005-11-09,2.71328739e+16
2005-11-10,-1.267651e+30
2005-11-11,-1.267651e+30
2005-11-12,3.52807018e+16
2005-11-13,-1.267651e+30
2005-11-14,2.12978409e+16
2005-11-15,1.87898871e+16
2005-11-16,2.49373854e+16
2005-11-17,2.02713673e+16
2005-11-18,1.82592524e+16
2005-11-19,3.06892443e+16
2005-11-20,2.6281343e+16
2005-11-21,3.41653009e+16
2005-11-22,2.6455141e+16
2005-11-23,1.45242802e+16
2005-11-24,3.90905418e+16
2005-11-25,2.55108602e+16
2005-11-26,2.51342195e+16
2005-11-27,1.73112329e+16
2005-11-28,-1.267651e+30
2005-11-29,1.87512087e+16
2005-11-30,3.11989774e+16
2005-12-01,2.59246631e+16
2005-12-02,1.15148782e+16
2005-12-03,2.45194271e+16
2005-12-04,8.1185673e+15
2005-12-05,2.48544926e+16
2005-12-06,2.09435791e+16
2005-12-07,-1.267651e+30
2005-12-08,2.12130776e+16
2005-12-09,2.78522509e+16
2005-12-10,2.83181475e+16
2005-12-11,1.18307097e+16
2005-12-12,1.54473213e+16
2005-12-13,1.7486459e+16
2005-12-14,2.45906184e+16
2005-12-15,2.37825417e+16
2005-12-16,2.66506951e+16
2005-12-17,1.31790352e+16
2005-12-18,1.41679783e+16
2005-12-19,3.96461258e+16
2005-12-20,3.78003808e+16
2005-12-21,1.96817499e+16
2005-12-22,2.32797084e+16
2005-12-23,5.08893967e+16
2005-12-24,3.24415609e+16
2005-12-25,1.09210893e+16
2005-12-26,1.99506879e+16
2005-12-27,1.67626238e+16
2005-12-28,3.20647054e+16
2005-12-29,2.95044819e+16
2005-12-30,2.17170168e+16
2005-12-31,1.76130639e+16
2006-01-01,-1.267651e+30
2006-01-02,1.79974055e+16
2006-01-03,1.64660531e+16
2006-01-04,1.03940292e+16
2006-01-05,1.72257104e+16
2006-01-06,2.95115664e+16
2006-01-07,2.22703997e+16
2006-01-08,-1.267651e+30
2006-01-09,2.89922318e+16
2006-01-10,2.00971677e+16
2006-01-11,6.01466576e+16
2006-01-12,-1.267651e+30
2006-01-13,-1.267651e+30
2006-01-14,2.08316973e+16
2006-01-15,3.73324742e+16
2006-01-16,-1.267651e+30
2006-01-17,-1.267651e+30
2006-01-18,2.9808645e+16
2006-01-19,2.47491563e+16
2006-01-20,3.44321086e+16
2006-01-21,2.86359707e+16
2006-01-22,1.15947442e+16
2006-01-23,2.69952932e+16
2006-01-24,3.11617036e+16
2006-01-25,2.93780488e+16
2006-01-26,3.46420444e+16
2006-01-27,2.65151309e+16
2006-01-28,2.39707579e+16
2006-01-29,9.47760662e+15
2006-01-30,1.62090734e+16
2006-01-31,-1.267651e+30
2006-02-01,1.41962477e+16
2006-02-02,5.12229095e+16
2006-02-03,1.74107247e+16
2006-02-04,1.77404945e+16
2006-02-05,2.44255327e+16
2006-02-06,2.3186615e+16
2006-02-07,-1.267651e+30
2006-02-08,2.1859395e+16
2006-02-09,-1.267651e+30
2006-02-10,2.24327237e+16
2006-02-11,1.55512283e+16
2006-02-12,1.93979857e+16
2006-02-13,2.00960274e+16
2006-02-14,-1.267651e+30
2006-02-15,-1.267651e+30
2006-02-16,2.66470229e+16
2006-02-17,1.37121094e+16
2006-02-18,3.8148737e+16
2006-02-19,4.51724431e+16
2006-02-20,3.56978956e+16
2006-02-21,5.70676728e+16
2006-02-22,3.02201265e+16
2006-02-23,3.70732386e+16
2006-02-24,2.65970875e+16
2006-02-25,-1.267651e+30
2006-02-26,1.29359637e+16
2006-02-27,2.10219322e+16
2006-02-28,-1.267651e+30
2006-03-03,2.55114722e+16
2006-03-04,1.80147979e+16
2006-03-05,1.80514104e+16
2006-03-06,2.78027686e+16
2006-03-07,2.61051892e+16
2006-03-08,4.06412053e+16
2006-03-09,2.128353e+16
2006-03-10,1.65975436e+16
2006-03-11,1.52418522e+16
2006-03-12,7.56986268e+15
2006-03-13,1.43049029e+16
2006-03-14,1.54219154e+16
2006-03-15,2.33048276e+16
2006-03-16,-1.267651e+30
2006-03-17,2.12095578e+16
2006-03-18,3.07577769e+16
2006-03-19,9.71407893e+15
2006-03-20,2.85201333e+16
2006-03-21,2.96270774e+16
2006-03-22,2.38519742e+16
2006-03-23,1.33017854e+16
2006-03-24,3.19691896e+16
2006-03-25,2.6576448e+16
2006-03-26,2.11944589e+16
2006-03-27,2.60738638e+16
2006-03-28,4.66590376e+15
2006-03-29,-1.267651e+30
2006-03-30,1.39157917e+16
2006-03-31,3.09704272e+16
2006-04-01,-1.267651e+30
2006-04-02,7.71483715e+15
2006-04-03,2.51722922e+16
2006-04-04,-1.267651e+30
2006-04-05,2.43980514e+16
2006-04-06,-1.267651e+30
2006-04-07,7.89465777e+15
2006-04-08,1.69511632e+16
2006-04-09,1.2505085e+16
2006-04-10,1.30429535e+16
2006-04-11,-1.267651e+30
2006-04-12,3.54052988e+16
2006-04-13,-1.267651e+30
2006-04-14,2.51779916e+16
2006-04-15,-1.267651e+30
2006-04-16,8.82423955e+15
2006-04-17,1.66726615e+16
2006-04-18,1.01896145e+16
2006-04-19,-1.267651e+30
2006-04-20,-1.267651e+30
2006-04-21,1.90687078e+16
2006-04-22,3.42739808e+16
2006-04-23,1.45287459e+16
2006-04-24,1.95480605e+16
2006-04-25,2.15787468e+16
2006-04-26,5.13233259e+16
2006-04-27,1.87336337e+16
2006-04-28,5.0719432e+16
2006-04-29,2.71396814e+16
2006-04-30,-1.267651e+30
2006-05-01,1.43353499e+16
2006-05-02,1.25323903e+16
2006-05-03,3.01388764e+16
2006-05-04,2.32526287e+16
2006-05-05,-1.267651e+30
2006-05-06,-1.267651e+30
2006-05-07,8.90919723e+15
2006-05-08,1.55114569e+16
2006-05-09,1.54030079e+16
2006-05-10,-1.267651e+30
2006-05-11,1.41959396e+16
2006-05-12,-1.267651e+30
2006-05-13,-1.267651e+30
2006-05-14,2.24270887e+16
2006-05-15,2.51613358e+16
2006-05-16,2.72270239e+16
2006-05-17,4.01452096e+16
2006-05-18,-1.267651e+30
2006-05-19,-1.267651e+30
2006-05-20,2.15526591e+16
2006-05-21,1.4396069e+16
2006-05-22,-1.267651e+30
2006-05-23,1.05463298e+16
2006-05-24,2.44630471e+16
2006-05-25,-1.267651e+30
2006-05-26,2.50459987e+16
2006-05-27,-1.267651e+30
2006-05-28,1.05080928e+16
2006-05-29,9.53726157e+15
2006-05-30,2.77560737e+16
2006-05-31,2.66896526e+16
2006-06-01,3.36868244e+16
2006-06-02,2.01120026e+16
2006-06-03,1.48286076e+16
2006-06-04,1.83348353e+16
2006-06-05,1.61341799e+16
2006-06-06,2.89703447e+16
2006-06-07,-1.267651e+30
2006-06-08,1.00852951e+16
2006-06-09,1.47849224e+16
2006-06-10,-1.267651e+30
2006-06-11,-1.267651e+30
2006-06-12,1.78244847e+16
2006-06-13,7.13704701e+15
2006-06-14,-1.267651e+30
2006-06-15,1.03559274e+16
2006-06-16,1.21845205e+16
2006-06-17,-1.267651e+30
2006-06-18,1.59071039e+16
2006-06-19,1.34599314e+16
2006-06-20,-1.267651e+30
2006-06-21,-1.267651e+30
2006-06-22,1.81810797e+16
2006-06-23,2.03010241e+16
2006-06-24,1.8986792e+16
2006-06-25,7.51298496e+15
2006-06-26,-1.267651e+30
2006-06-27,-1.267651e+30
2006-06-28,9.37683703e+15
2006-06-29,9.6543907e+15
2006-06-30,-1.267651e+30
2006-07-01,-1.267651e+30
2006-07-02,1.18726726e+16
2006-07-03,2.64238607e+16
2006-07-04,-1.267651e+30
2006-07-05,-1.267651e+30
2006-07-06,-1.267651e+30
2006-07-07,7.78838256e+15
2006-07-08,1.32811781e+16
2006-07-09,-1.267651e+30
2006-07-10,-1.267651e+30
2006-07-11,-1.267651e+30
2006-07-12,-1.267651e+30
2006-07-13,-1.267651e+30
2006-07-14,-1.267651e+30
2006-07-15,-1.267651e+30
2006-07-16,-1.267651e+30
2006-07-17,-1.267651e+30
2006-07-18,-1.267651e+30
2006-07-19,-1.267651e+30
2006-07-20,-1.267651e+30
2006-07-21,-1.267651e+30
2006-07-22,1.28533618e+16
2006-07-23,1.26132474e+16
2006-07-24,-1.267651e+30
2006-07-25,6.82498704e+15
2006-07-26,-1.267651e+30
2006-07-27,-1.267651e+30
2006-07-28,-1.267651e+30
2006-07-29,-1.267651e+30
2006-07-30,-1.267651e+30
2006-07-31,8.37361158e+15
2006-08-01,7.70244295e+15
2006-08-02,9.76625741e+15
2006-08-03,1.81407436e+16
2006-08-04,1.46945434e+16
2006-08-05,1.64879134e+16
2006-08-06,9.04445917e+15
2006-08-07,1.18887927e+16
2006-08-08,9.85827172e+15
2006-08-09,2.02410148e+16
2006-08-10,2.22329626e+16
2006-08-11,-1.267651e+30
2006-08-12,1.77028663e+16
2006-08-13,1.40536162e+16
2006-08-14,1.90446602e+16
2006-08-15,1.21218559e+16
2006-08-16,1.12093535e+16
2006-08-17,5.99587689e+15
2006-08-18,7.32762599e+15
2006-08-19,6.56994812e+15
2006-08-20,-1.267651e+30
2006-08-21,1.00867876e+16
2006-08-22,7.4900842e+15
2006-08-23,1.05639961e+16
2006-08-24,8.21761945e+15
2006-08-25,-1.267651e+30
2006-08-26,-1.267651e+30
2006-08-27,-1.267651e+30
2006-08-28,1.02228897e+16
2006-08-29,-1.267651e+30
2006-08-30,5.0036573e+15
2006-08-31,1.08197184e+16
2006-09-01,1.31479751e+16
2006-09-02,2.23441271e+16
2006-09-03,1.56332396e+16
2006-09-04,-1.267651e+30
2006-09-05,1.43018202e+16
2006-09-06,2.97777749e+16
2006-09-07,1.85507712e+16
2006-09-08,-1.267651e+30
2006-09-09,-1.267651e+30
2006-09-10,8.95021202e+15
2006-09-11,8.02483715e+15
2006-09-12,1.58805836e+16
2006-09-13,1.53009649e+16
2006-09-14,1.9224104e+16
2006-09-15,1.45760936e+16
2006-09-16,-1.267651e+30
2006-09-17,-1.267651e+30
2006-09-18,-1.267651e+30
2006-09-19,3.61231832e+16
2006-09-20,2.40751664e+16
2006-09-21,-1.267651e+30
2006-09-22,2.03008823e+16
2006-09-23,1.60137888e+16
2006-09-24,1.42204692e+16
2006-09-25,8.62445324e+15
2006-09-26,3.0550315e+16
2006-09-27,2.20842816e+16
2006-09-28,-1.267651e+30
2006-09-29,2.49250181e+16
2006-09-30,2.62346674e+16
2006-10-01,2.19395756e+16
2006-10-02,2.49547972e+16
2006-10-03,2.85555088e+16
2006-10-04,1.80152081e+16
2006-10-05,9.10177766e+15
2006-10-06,8.53141888e+15
2006-10-07,1.51212108e+16
2006-10-08,1.65517227e+16
2006-10-09,-1.267651e+30
2006-10-10,2.24271467e+16
2006-10-11,8.35556198e+15
2006-10-12,2.63681228e+16
2006-10-13,1.61272382e+16
2006-10-14,3.01702791e+16
2006-10-15,1.84077531e+16
2006-10-16,1.7513004e+16
2006-10-17,1.21568512e+16
2006-10-18,1.11660399e+16
2006-10-19,1.66025987e+16
2006-10-20,6.76414346e+15
2006-10-21,2.75251719e+16
2006-10-22,-1.267651e+30
2006-10-23,-1.267651e+30
2006-10-24,1.17653768e+16
2006-10-25,8.70705942e+15
2006-10-26,5.03154001e+16
2006-10-27,1.70108322e+16
2006-10-28,3.30251267e+16
2006-10-29,1.59045377e+16
2006-10-30,3.1645508e+16
2006-10-31,3.67251272e+16
2006-11-01,1.77393993e+16
2006-11-02,3.36203533e+16
2006-11-03,2.84043668e+16
2006-11-04,2.66315589e+16
2006-11-05,1.24106237e+16
2006-11-06,1.44894673e+16
2006-11-07,1.56284196e+16
2006-11-08,-1.267651e+30
2006-11-09,2.39731481e+16
2006-11-10,1.60663903e+16
2006-11-11,1.42480429e+16
2006-11-12,1.80547755e+16
2006-11-13,-1.267651e+30
2006-11-14,1.38907628e+16
2006-11-15,1.57084306e+16
2006-11-16,1.78546386e+16
2006-11-17,3.58410747e+16
2006-11-18,2.10148992e+16
2006-11-19,-1.267651e+30
2006-11-20,4.05092511e+16
2006-11-21,-1.267651e+30
2006-11-22,-1.267651e+30
2006-11-23,1.18819347e+16
2006-11-24,-1.267651e+30
2006-11-25,2.09824077e+16
2006-11-26,-1.267651e+30
2006-11-27,-1.267651e+30
2006-11-28,-1.267651e+30
2006-11-29,1.77178396e+16
2006-11-30,-1.267651e+30
2006-12-01,2.46729915e+16
2006-12-02,1.87557206e+16
2006-12-03,1.61050397e+16
2006-12-04,1.79795867e+16
2006-12-05,2.15186774e+16
2006-12-06,2.17661985e+16
2006-12-07,-1.267651e+30
2006-12-08,-1.267651e+30
2006-12-09,4.57326292e+15
2006-12-10,2.26188912e+16
2006-12-11,2.27218759e+16
2006-12-12,1.68650696e+16
2006-12-13,1.78723457e+16
2006-12-14,2.16898404e+16
2006-12-15,-1.267651e+30
